Areaname,land_area
ALABAMA,52422.94
"Autauga, AL",604.49
"Baldwin, AL",2027.08
"Barbour, AL",904.59
"Bibb, AL",625.5
"Blount, AL",650.65
"Bullock, AL",626.11
"Butler, AL",777.99
"Calhoun, AL",612.35
"Chambers, AL",603.15
"Cherokee, AL",600
"Chilton, AL",700.8
"Choctaw, AL",920.91
"Clarke, AL",1252.6
"Clay, AL",606.05
"Cleburne, AL",561.06
"Coffee, AL",680.52
"Colbert, AL",623.66
"Conecuh, AL",852.58
"Coosa, AL",666.41
"Covington, AL",1043.95
"Crenshaw, AL",610.91
"Cullman, AL",754.86
"Dale, AL",562.72
"Dallas, AL",993.46
"DeKalb, AL",778.71
"Elmore, AL",657.26
"Escambia, AL",953.04
"Etowah, AL",548.81
"Fayette, AL",629.38
"Franklin, AL",646.55
"Geneva, AL",578.96
"Greene, AL",659.99
"Hale, AL",656.52
"Henry, AL",568.38
"Houston, AL",581.71
"Jackson, AL",1126.82
"Jefferson, AL",1123.87
"Lamar, AL",605.51
"Lauderdale, AL",718.84
"Lawrence, AL",718.13
"Lee, AL",615.61
"Limestone, AL",607.12
"Lowndes, AL",725.09
"Macon, AL",613.29
"Madison, AL",812.89
"Marengo, AL",982.92
"Marion, AL",743.62
"Marshall, AL",623.21
"Mobile, AL",1644.14
"Monroe, AL",1034.62
"Montgomery, AL",799.81
"Morgan, AL",599.09
"Perry, AL",724.13
"Pickens, AL",890.1
"Pike, AL",672.15
"Randolph, AL",584.15
"Russell, AL",647.44
"St. Clair, AL",653.66
"Shelby, AL",809.6
"Sumter, AL",913.35
"Talladega, AL",760.32
"Tallapoosa, AL",766.3
"Tuscaloosa, AL",1352.03
"Walker, AL",805.36
"Washington, AL",1088.62
"Wilcox, AL",907.54
"Winston, AL",631.9
ALASKA,656424.14
"Aleutians East, AK",15011.77
"Aleutians West, AK",14114.7
"Anchorage, AK",1961.51
"Bethel, AK",45954.59
"Bristol Bay, AK",917.61
"Denali, AK",0
"Dillingham, AK",20613.12
"Fairbanks North Star, AK",7443.68
"Haines, AK",2754.1
"Hoonah-Angoon, AK",17500.23
"Juneau, AK",3081.12
"Kenai Peninsula, AK",21664.33
"Ketchikan Gateway, AK",1743.55
"Kodiak Island, AK",11845.9
"Lake and Peninsula, AK",29008.24
"Matanuska-Susitna, AK",25232.41
"Nome, AK",28276.17
"North Slope, AK",93823.1
"Northwest Arctic, AK",40660.96
"Petersburg, AK",8973.77
"Prince of Wales-Hyder, AK",12566.41
"Sitka, AK",4849.75
"Skagway, AK",0
"Southeast Fairbanks, AK",26235.44
"Valdez-Cordova, AK",43515.67
"Wade Hampton, AK",19680.08
"Wrangell, AK",0
"Yakutat, AK",0
"Yukon-Koyukuk, AK",158995.95
ARIZONA,114006.26
"Apache, AZ",11219.17
"Cochise, AZ",6219.32
"Coconino, AZ",18662.57
"Gila, AZ",4796.14
"Graham, AZ",4641.47
"Greenlee, AZ",1848.55
"La Paz, AZ",4513.66
"Maricopa, AZ",9224.86
"Mohave, AZ",13470.5
"Navajo, AZ",9960.22
"Pima, AZ",9189.44
"Pinal, AZ",5374.49
"Santa Cruz, AZ",1238.22
"Yavapai, AZ",8128.33
"Yuma, AZ",5519.32
ARKANSAS,53182.36
