Rank,Incorporated place,Metropolitan area,State,Population (2010 census),Land area (mi2),Land area (approximate km2),Population density (people per mi2),Population density (approximate people per km2)
1,Guttenberg,New York City,New Jersey,"11,176",0.196,0.508,"57,116.0","22,015.7"
2,Union City,New York City,New Jersey,"66,455",1.28,3.32,"51,810.1","20,045.6"
3,West New York,New York City,New Jersey,"49,708",1.007,2.61,"49,362.4","19,059.0"
4,Hoboken,New York City,New Jersey,"50,005",1.28,3.32,"39,066.4","15,083.6"
5,Kaser,New York City,New York,"4,724",0.17,0.440,"27,788.2","10,729.1"
6,New York City,New York City,New York,"8,175,133",302.6,783.73,"27,016.3","10,431.1"
7,Cliffside Park,New York City,New Jersey,"23,594",0.96,2.49,"24,577.1","9,489.3"
8,East Newark,New York City,New Jersey,"2,406",0.10,0.259,"24,060","9,289.6"
9,Maywood,Los Angeles,California,"27,395",1.18,3.06,"23,216.1","8,963.8"
10,Passaic,New York City,New Jersey,"69,781",3.11,8.05,"22,437.6","8,663.2"
11,Great Neck Plaza,New York City,New York,"6,707",0.31,0.803,"21,635.4","8,353.5"
12,North Bay Village,Miami,Florida,"7,137",0.33,0.855,"21,484","8,350.3"
13,Cudahy,Los Angeles,California,"23,805",1.12,2.90,"21,254.4","8,206.4"
14,Sunny Isles Beach,Miami,Florida,"20,832",1.01,2.62,"20,518.9","7,963.6"
15,Huntington Park,Los Angeles,California,"58,114",3.03,7.85,"19,179.5","7,405.3"
16,Somerville,Boston,Massachusetts,"75,754",4.11,10.65,"18,431.6","7,116.5"
17,West Hollywood,Los Angeles,California,"34,399",1.88,4.87,"18,297.3","7,064.6"
18,Irvington,New York City,New Jersey,"53,926",2.96,7.67,"18,218.2","7,034.1"
19,Poplar Hills,Louisville,Kentucky,362,0.02,0.052,"18,100","6,988.4"
20,Paterson,New York City,New Jersey,"146,199",8.44,21.86,"18,801","6,267"
21,San Francisco,San Francisco,California,"805,235",46.69,120.93,"17,246.4","6,658.9"
22,Sweetwater,Miami,Florida,"13,499",0.82,2.12,"17,023","6,356.1"
23,Bell Gardens,Los Angeles,California,"42,072",2.49,6.45,"16,896","6,523.7"
24,Millbourne,Philadelphia,Pennsylvania,"1,159",0.07,0.181,"16,557.1","6,392.7"
25,East Orange,New York City,New Jersey,"64,270",3.93,10.18,"16,377.1","6,314.2"
26,Cambridge,Boston,Massachusetts,"105,162",6.43,16.65,"16,354.9","6,314.7"
27,Central Falls,Providence,Rhode Island,"19,376",1.2,3.34,"16,146.7","5,799.3"
28,Jersey City,New York City,New Jersey,"240,055",14.92,38.64,"16,093.7","6,212.2"
29,Chelsea,Boston,Massachusetts,"35,080",2.19,5.67,"16,036.8","6,184.7"
30,Lawndale,Los Angeles,California,"31,711",1.98,5.13,"16,036.7","6,183.7"
31,Weehawken,New York City,New Jersey,"13,501",0.85,2.20,"15,891.3","6,132.7"
32,South Floral Park,New York City,New York,"1,578",0.10,0.259,"15,776.3","6,092.7"
33,Mount Vernon,New York City,New York,"68,381",4.36,11.29,"15,689.3","6,055.5"
34,Fairview,New York City,New Jersey,"13,255",0.85,2.20,"15,585.5","6,020.9"
35,Long Beach,New York City,New York,"33,275",2.14,5.54,"15,549","6,003.5"
36,Hawaiian Gardens,Los Angeles,California,"14,779",0.96,2.49,"15,389.5","5,944.0"
37,Stone Park,Chicago,Illinois,"5,127",0.33,0.855,"15,378.2","5,998.6"
38,Hempstead,New York City,New York,"56,554",3.68,9.53,"15,366.1","5,933.6"
39,Orange,New York City,New Jersey,"32,868",2.21,5.72,"14,903.7","5,742.3"
40,Bell,Los Angeles,California,"36,664",2.48,6.42,"14,802.5","5,708.1"
41,Cicero,Chicago,Illinois,"85,616",5.85,15.15,"14,645.2","5,650.7"
42,Lynwood,Los Angeles,California,"69,845",4.85,12.56,"14,389.2","5,560.3"
43,Bay Harbor Islands,Miami,Florida,"5,628",0.37,0.958,"14,221.7","5,872.9"
44,Palisades Park,New York City,New Jersey,"17,073",1.21,3.13,"14,112.4","5,447.9"
45,Fort Lee,New York City,New Jersey,"35,461",2.53,6.55,"14,001.7","5,411.7"
46,Garfield,New York City,New Jersey,"29,786",2.13,5.52,"13,976.0","5,399.3"
47,Hawthorne,Los Angeles,California,"84,112",6.06,15.70,"13,879.4","5,359.0"
