Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,All Ages,249570,2635214,249148,113943,6852,390588,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,Under 1 year,29,14843,139,4,15,179,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,0-17 years,127,26333,407,20,123,637,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,1-4 years,16,2768,91,2,42,147,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,5-14 years,44,4453,120,7,53,210,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,15-24 years,439,28554,576,154,55,912,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,18-29 years,1059,50440,1321,432,103,2041,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,25-34 years,1852,58354,2047,821,154,3217,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,30-49 years,10916,174776,10280,4920,574,16769,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,35-44 years,4771,82459,4610,2112,251,7490,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,45-54 years,12701,150178,12042,6004,593,19223,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,50-64 years,38625,434289,40096,19027,1626,61030,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,55-64 years,30875,344229,32479,15295,1263,49099,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,65-74 years,53579,523408,55835,26534,1492,84118,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,75-84 years,67305,637516,68697,31766,1516,105532,
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,85 years and over,77959,788452,72512,31244,1418,120461,
12/02/2020,02/01/2020,11/28/2020,United States,Male,All Ages,135078,1376260,137312,64683,3543,210613,
12/02/2020,02/01/2020,11/28/2020,United States,Male,Under 1 year,20,8206,84,3,7,108,
12/02/2020,02/01/2020,11/28/2020,United States,Male,0-17 years,75,15512,225,11,64,353,
12/02/2020,02/01/2020,11/28/2020,United States,Male,1-4 years,8,1617,44,1,25,76,
12/02/2020,02/01/2020,11/28/2020,United States,Male,5-14 years,29,2671,63,6,24,110,
12/02/2020,02/01/2020,11/28/2020,United States,Male,15-24 years,267,21114,352,92,27,551,
12/02/2020,02/01/2020,11/28/2020,United States,Male,18-29 years,671,36972,799,256,54,1261,
12/02/2020,02/01/2020,11/28/2020,United States,Male,25-34 years,1192,41297,1252,515,79,1998,
12/02/2020,02/01/2020,11/28/2020,United States,Male,30-49 years,7367,114641,6412,3322,310,10710,
12/02/2020,02/01/2020,11/28/2020,United States,Male,35-44 years,3208,54255,2877,1422,133,4774,
12/02/2020,02/01/2020,11/28/2020,United States,Male,45-54 years,8573,94263,7473,4054,355,12272,
12/02/2020,02/01/2020,11/28/2020,United States,Male,50-64 years,25089,268199,24489,12297,943,38027,
12/02/2020,02/01/2020,11/28/2020,United States,Male,55-64 years,19905,211901,19780,9793,721,30462,
12/02/2020,02/01/2020,11/28/2020,United States,Male,65-74 years,32798,303799,33601,16405,835,50664,
12/02/2020,02/01/2020,11/28/2020,United States,Male,75-84 years,37255,331437,38759,18161,758,58488,
12/02/2020,02/01/2020,11/28/2020,United States,Male,85 years and over,31823,305700,33027,14231,579,51110,
12/02/2020,02/01/2020,11/28/2020,United States,Female,All Ages,114485,1258860,111828,49255,3308,179964,
12/02/2020,02/01/2020,11/28/2020,United States,Female,Under 1 year,9,6613,55,1,8,71,
12/02/2020,02/01/2020,11/28/2020,United States,Female,0-17 years,52,10796,182,9,59,284,
12/02/2020,02/01/2020,11/28/2020,United States,Female,1-4 years,8,1151,47,1,17,71,
12/02/2020,02/01/2020,11/28/2020,United States,Female,5-14 years,15,1782,57,1,29,100,
12/02/2020,02/01/2020,11/28/2020,United States,Female,15-24 years,172,7437,224,62,28,361,
12/02/2020,02/01/2020,11/28/2020,United States,Female,18-29 years,388,13466,522,176,49,780,
12/02/2020,02/01/2020,11/28/2020,United States,Female,25-34 years,660,17055,795,306,75,1219,
12/02/2020,02/01/2020,11/28/2020,United States,Female,30-49 years,3549,60129,3868,1598,264,6059,
12/02/2020,02/01/2020,11/28/2020,United States,Female,35-44 years,1563,28201,1733,690,118,2716,
12/02/2020,02/01/2020,11/28/2020,United States,Female,45-54 years,4126,55911,4568,1949,238,6949,
12/02/2020,02/01/2020,11/28/2020,United States,Female,50-64 years,13534,166078,15605,6729,682,22999,
12/02/2020,02/01/2020,11/28/2020,United States,Female,55-64 years,10970,132319,12698,5502,541,18635,
12/02/2020,02/01/2020,11/28/2020,United States,Female,65-74 years,20780,219599,22233,10128,657,33453,
12/02/2020,02/01/2020,11/28/2020,United States,Female,75-84 years,30048,306063,29935,13603,758,47041,
12/02/2020,02/01/2020,11/28/2020,United States,Female,85 years and over,46134,482729,39483,17012,839,69348,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,All Ages,7,94,8,5,1,11,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,Under 1 year,0,24,0,0,0,0,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,0-17 years,0,25,0,0,0,0,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,1-4 years,0,0,0,0,0,0,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,5-14 years,0,0,0,0,0,0,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,15-24 years,0,3,0,0,0,0,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,18-29 years,0,2,0,0,0,0,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,25-34 years,0,2,0,0,0,0,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,30-49 years,0,6,0,0,0,0,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,35-44 years,0,3,0,0,0,0,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,45-54 years,2,4,1,1,0,2,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,50-64 years,2,12,2,1,1,4,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,55-64 years,0,9,1,0,1,2,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,65-74 years,1,10,1,1,0,1,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,75-84 years,2,16,3,2,0,3,
12/02/2020,02/01/2020,11/28/2020,United States,Unknown,85 years and over,2,23,2,1,0,3,
12/02/2020,02/01/2020,11/28/2020,Alabama,All Sexes,All Ages,4453,49213,3867,1448,103,6969,
12/02/2020,02/01/2020,11/28/2020,Alabama,Male,All Ages,2310,25604,2070,765,61,3672,
12/02/2020,02/01/2020,11/28/2020,Alabama,Male,Under 1 year,,162,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/02/2020,02/01/2020,11/28/2020,Alabama,Male,0-17 years,,318,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/02/2020,02/01/2020,11/28/2020,Alabama,Male,1-4 years,0,36,0,0,0,0,
12/02/2020,02/01/2020,11/28/2020,Alabama,Male,5-14 years,0,54,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/02/2020,02/01/2020,11/28/2020,Alabama,Male,15-24 years,,420,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/02/2020,02/01/2020,11/28/2020,Alabama,Male,18-29 years,13,677,,,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
