City,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
"New York, New York",28211,8537673,303
"Los Angeles, California",8484,3976322,469
"Chicago, Illinois",11883,2704958,228
"Houston, Texas",3842,2303482,600
"Phoenix, Arizona",3126,1615017,517
"Philadelphia, Pennsylvania",11692,1567872,134
"San Antonio, Texas",3238,1492510,461
"San Diego, California",4326,1406630,325
"Dallas, Texas",3870,1317929,341
"San Jose, California",5808,1025350,177
"Austin, Texas",3182,947890,298
"Jacksonville, Florida",1179,880619,747
"San Francisco, California",18581,870887,47
"Columbus, Ohio",3960,860090,217
"Indianapolis, Indiana",2366,855164,361
"Fort Worth, Texas",2513,854113,340
"Charlotte, North Carolina",2829,842051,298
"Seattle, Washington",8391,704352,84
"Denver, Colorado",4530,693060,153
"El Paso, Texas",2676,683080,255
"Washington, District of Columbia",11158,681170,61
"Boston, Massachusetts",13943,673184,48
"Detroit, Michigan",4849,672795,139
"Nashville, Tennessee",1390,660388,475
"Memphis, Tennessee",2072,652717,315
"Portland, Oregon",4795,639863,133
"Oklahoma City, Oklahoma",1053,638367,606
"Las Vegas, Nevada",4660,632912,136
"Louisville, Kentucky",1895,616261,325
"Baltimore, Maryland",7594,614664,81
"Milwaukee, Wisconsin",6191,595047,96
"Albuquerque, New Mexico",2979,559277,188
"Tucson, Arizona",2341,530706,227
"Fresno, California",4663,522053,112
"Sacramento, California",5058,495234,98
"Mesa, Arizona",3551,484587,136
"Kansas City, Missouri",1529,481420,315
"Atlanta, Georgia",3549,472522,133
"Long Beach, California",9348,470130,50
"Colorado Springs, Colorado",2391,465101,195
"Raleigh, North Carolina",3211,458880,143
"Miami, Florida",12645,453579,36
"Virginia Beach, Virginia",1818,452602,249
"Omaha, Nebraska",3517,446970,127
"Oakland, California",7528,420005,56
"Minneapolis, Minnesota",7664,413651,54
"Tulsa, Oklahoma",2049,403090,197
"Arlington, Texas",4096,392772,96
"New Orleans, Louisiana",2311,391495,169
"Wichita, Kansas",2448,389902,159
"Cleveland, Ohio",4965,385809,78
"Tampa, Florida",3326,377165,113
"Bakersfield, California",2648,376380,142
"Aurora, Colorado",2338,361710,155
"Urban Honolulu, Hawaii",5813,351792,61
"Anaheim, California",7043,351043,50
"Santa Ana, California",12256,334217,27
"Corpus Christi, Texas",2028,325733,161
"Riverside, California",4002,324722,81
"Lexington, Kentucky",1123,318449,284
"St. Louis, Missouri",5030,311404,62
"Stockton, California",4979,307072,62
"Pittsburgh, Pennsylvania",5484,303625,55
"St. Paul, Minnesota",5818,302398,52
"Cincinnati, Ohio",3834,298800,78
"Anchorage, Alaska",175,298192,1705
"Henderson, Nevada",2719,292969,108
"Greensboro, North Carolina",2269,287027,127
"Plano, Texas",3996,286057,72
"Newark, New Jersey",11648,281764,24
"Lincoln, Nebraska",3146,280364,89
"Toledo, Ohio",3452,278508,81
"Orlando, Florida",2707,277173,102
"Chula Vista, California",5383,267172,50
"Irvine, California",4025,266122,66
"Fort Wayne, Indiana",2391,264488,111
"Jersey City, New Jersey",17860,264152,15
"Durham, North Carolina",2450,263016,107
"St. Petersburg, Florida",4227,260999,62
"Laredo, Texas",2892,257156,89
"Buffalo, New York",6362,256902,40
"Madison, Wisconsin",3289,252551,77
"Lubbock, Texas",2063,252506,122
"Chandler, Arizona",3842,247477,64
"Scottsdale, Arizona",1341,246645,184
"Glendale, Arizona",4100,245895,60
"Reno, Nevada",2381,245255,103
"Norfolk, Virginia",4529,245115,54
"Winston-Salem, North Carolina",1829,242203,132
"North Las Vegas, Nevada",2355,238702,101
"Irving, Texas",3555,238289,67
"Chesapeake, Virginia",698,237940,341
"Gilbert, Arizona",3489,237133,68
"Hialeah, Florida",11020,236387,21
"Garland, Texas",4116,234943,57
"Fremont, California",3010,233136,77
"Baton Rouge, Louisiana",2959,227715,77
"Richmond, Virginia",3731,223170,60
"Boise City, Idaho",2812,223154,79
"San Bernardino, California",3653,216239,59
"Spokane, Washington",3645,215973,59
"Des Moines, Iowa",2664,215472,81
"Modesto, California",5755,212175,37
"Birmingham, Alabama",1452,212157,146
"Tacoma, Washington",4249,211277,50
"Fontana, California",4941,209665,42
"Rochester, New York",5838,208880,36
"Oxnard, California",7732,207906,27
"Moreno Valley, California",4008,205499,51
"Fayetteville, North Carolina",1404,204759,146
"Aurora, Illinois",4475,201110,45
"Glendale, California",6595,200831,30
"Yonkers, New York",11150,200807,18
"Huntington Beach, California",7501,200652,27
"Montgomery, Alabama",1254,200022,160
"Amarillo, Texas",2006,199582,99
"Little Rock, Arkansas",1666,198541,119
"Akron, Ohio",3186,197633,62
"Columbus, Georgia",913,197485,216
"Augusta-Richmond County, Georgia",652,197081,302
"Grand Rapids, Michigan",4424,196445,44
"Shreveport, Louisiana",1850,194920,105
"Salt Lake City, Utah",1744,193744,111
"Huntsville, Alabama",924,193079,209
"Mobile, Alabama",1387,192904,139
"Tallahassee, Florida",1904,190894,100
