##"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",
##"Note: The 6,222 people in Bedford city, Virginia, which was an independent city as of the 2010 Census, are not included in the April 1, 2010 Census enumerated population presented in the county estimates. In July 2013, the legal status of Bedford changed from a city to a town and it became dependent within (or part of) Bedford County, Virginia. This population of Bedford town is now included in the April 1, 2010 estimates base and all July 1 estimates for Bedford County. Because it is no longer an independent city, Bedford town is not listed in this table. As a result, the sum of the April 1, 2010 census values for Virginia counties and independent cities does not equal the 2010 Census count for Virginia, and the sum of April 1, 2010 census values for all counties and independent cities in the United States does not equal the 2010 Census count for the United States. Substantial geographic changes to counties can be found on the Census Bureau website at https://www.census.gov/programs-surveys/geography/technical-documentation/county-changes.html.",
##"Suggested Citation:",
##"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES)",
##"Source: U.S. Census Bureau, Population Division",
"county","population"
".Autauga County, Alabama","55,869"
".Baldwin County, Alabama","223,234"
".Barbour County, Alabama","24,686"
".Bibb County, Alabama","22,394"
".Blount County, Alabama","57,826"
".Bullock County, Alabama","10,101"
".Butler County, Alabama","19,448"
".Calhoun County, Alabama","113,605"
".Chambers County, Alabama","33,254"
".Cherokee County, Alabama","26,196"
".Chilton County, Alabama","44,428"
".Choctaw County, Alabama","12,589"
".Clarke County, Alabama","23,622"
".Clay County, Alabama","13,235"
".Cleburne County, Alabama","14,910"
".Coffee County, Alabama","52,342"
".Colbert County, Alabama","55,241"
".Conecuh County, Alabama","12,067"
".Coosa County, Alabama","10,663"
".Covington County, Alabama","37,049"
".Crenshaw County, Alabama","13,772"
".Cullman County, Alabama","83,768"
".Dale County, Alabama","49,172"
".Dallas County, Alabama","37,196"
".DeKalb County, Alabama","71,513"
".Elmore County, Alabama","81,209"
".Escambia County, Alabama","36,633"
".Etowah County, Alabama","102,268"
".Fayette County, Alabama","16,302"
".Franklin County, Alabama","31,362"
".Geneva County, Alabama","26,271"
".Greene County, Alabama","8,111"
".Hale County, Alabama","14,651"
".Henry County, Alabama","17,205"
".Houston County, Alabama","105,882"
".Jackson County, Alabama","51,626"
".Jefferson County, Alabama","658,573"
".Lamar County, Alabama","13,805"
".Lauderdale County, Alabama","92,729"
".Lawrence County, Alabama","32,924"
".Lee County, Alabama","164,542"
".Limestone County, Alabama","98,915"
".Lowndes County, Alabama","9,726"
".Macon County, Alabama","18,068"
".Madison County, Alabama","372,909"
".Marengo County, Alabama","18,863"
".Marion County, Alabama","29,709"
".Marshall County, Alabama","96,774"
".Mobile County, Alabama","413,210"
".Monroe County, Alabama","20,733"
".Montgomery County, Alabama","226,486"
".Morgan County, Alabama","119,679"
".Perry County, Alabama","8,923"
".Pickens County, Alabama","19,930"
".Pike County, Alabama","33,114"
".Randolph County, Alabama","22,722"
".Russell County, Alabama","57,961"
".St. Clair County, Alabama","89,512"
".Shelby County, Alabama","217,702"
".Sumter County, Alabama","12,427"
".Talladega County, Alabama","79,978"
".Tallapoosa County, Alabama","40,367"
".Tuscaloosa County, Alabama","209,355"
".Walker County, Alabama","63,521"
".Washington County, Alabama","16,326"
".Wilcox County, Alabama","10,373"
".Winston County, Alabama","23,629"
".Aleutians East Borough, Alaska","3,337"
".Aleutians West Census Area, Alaska","5,634"
".Anchorage Municipality, Alaska","288,000"
".Bethel Census Area, Alaska","18,386"
".Bristol Bay Borough, Alaska",836
".Denali Borough, Alaska","2,097"
".Dillingham Census Area, Alaska","4,916"
".Fairbanks North Star Borough, Alaska","96,849"
".Haines Borough, Alaska","2,530"
".Hoonah-Angoon Census Area, Alaska","2,148"
".Juneau City and Borough, Alaska","31,974"
".Kenai Peninsula Borough, Alaska","58,708"
".Ketchikan Gateway Borough, Alaska","13,901"
".Kodiak Island Borough, Alaska","12,998"
".Kusilvak Census Area, Alaska","8,314"
".Lake and Peninsula Borough, Alaska","1,592"
".Matanuska-Susitna Borough, Alaska","108,317"
".Nome Census Area, Alaska","10,004"
".North Slope Borough, Alaska","9,832"
".Northwest Arctic Borough, Alaska","7,621"
".Petersburg Borough, Alaska","3,266"
".Prince of Wales-Hyder Census Area, Alaska","6,203"
".Sitka City and Borough, Alaska","8,493"
".Skagway Municipality, Alaska","1,183"
".Southeast Fairbanks Census Area, Alaska","6,893"
".Valdez-Cordova Census Area, Alaska","9,202"
".Wrangell City and Borough, Alaska","2,502"
".Yakutat City and Borough, Alaska",579
".Yukon-Koyukuk Census Area, Alaska","5,230"
".Apache County, Arizona","71,887"
".Cochise County, Arizona","125,922"
".Coconino County, Arizona","143,476"
".Gila County, Arizona","54,018"
".Graham County, Arizona","38,837"
".Greenlee County, Arizona","9,498"
".La Paz County, Arizona","21,108"
".Maricopa County, Arizona","4,485,414"
".Mohave County, Arizona","212,181"
".Navajo County, Arizona","110,924"
".Pima County, Arizona","1,047,279"
".Pinal County, Arizona","462,789"
".Santa Cruz County, Arizona","46,498"
".Yavapai County, Arizona","235,099"
".Yuma County, Arizona","213,787"
".Arkansas County, Arkansas","17,486"
".Ashley County, Arkansas","19,657"
".Baxter County, Arkansas","41,932"
".Benton County, Arkansas","279,141"
".Boone County, Arkansas","37,432"
".Bradley County, Arkansas","10,763"
".Calhoun County, Arkansas","5,189"
".Carroll County, Arkansas","28,380"
".Chicot County, Arkansas","10,118"
".Clark County, Arkansas","22,320"
".Clay County, Arkansas","14,551"
".Cleburne County, Arkansas","24,919"
".Cleveland County, Arkansas","7,956"
".Columbia County, Arkansas","23,457"
".Conway County, Arkansas","20,846"
".Craighead County, Arkansas","110,332"
".Crawford County, Arkansas","63,257"
".Crittenden County, Arkansas","47,955"
".Cross County, Arkansas","16,419"
".Dallas County, Arkansas","7,009"
".Desha County, Arkansas","11,361"
".Drew County, Arkansas","18,219"
".Faulkner County, Arkansas","126,007"
".Franklin County, Arkansas","17,715"
".Fulton County, Arkansas","12,477"
".Garland County, Arkansas","99,386"
".Grant County, Arkansas","18,265"
".Greene County, Arkansas","45,325"
".Hempstead County, Arkansas","21,532"
".Hot Spring County, Arkansas","33,771"
".Howard County, Arkansas","13,202"
".Independence County, Arkansas","37,825"
".Izard County, Arkansas","13,629"
".Jackson County, Arkansas","16,719"
".Jefferson County, Arkansas","66,824"
".Johnson County, Arkansas","26,578"
