fips,state,county,stateiso
01001,Alabama,Autauga County,AL
01003,Alabama,Baldwin County,AL
01005,Alabama,Barbour County,AL
01007,Alabama,Bibb County,AL
01009,Alabama,Blount County,AL
01011,Alabama,Bullock County,AL
01013,Alabama,Butler County,AL
01015,Alabama,Calhoun County,AL
01017,Alabama,Chambers County,AL
01019,Alabama,Cherokee County,AL
01021,Alabama,Chilton County,AL
01023,Alabama,Choctaw County,AL
01025,Alabama,Clarke County,AL
01027,Alabama,Clay County,AL
01029,Alabama,Cleburne County,AL
01031,Alabama,Coffee County,AL
01033,Alabama,Colbert County,AL
01035,Alabama,Conecuh County,AL
01037,Alabama,Coosa County,AL
01039,Alabama,Covington County,AL
01041,Alabama,Crenshaw County,AL
01043,Alabama,Cullman County,AL
01045,Alabama,Dale County,AL
01047,Alabama,Dallas County,AL
01049,Alabama,DeKalb County,AL
01051,Alabama,Elmore County,AL
01053,Alabama,Escambia County,AL
01055,Alabama,Etowah County,AL
01057,Alabama,Fayette County,AL
01059,Alabama,Franklin County,AL
01061,Alabama,Geneva County,AL
01063,Alabama,Greene County,AL
01065,Alabama,Hale County,AL
01067,Alabama,Henry County,AL
01069,Alabama,Houston County,AL
01071,Alabama,Jackson County,AL
01073,Alabama,Jefferson County,AL
01075,Alabama,Lamar County,AL
01077,Alabama,Lauderdale County,AL
01079,Alabama,Lawrence County,AL
01081,Alabama,Lee County,AL
01083,Alabama,Limestone County,AL
01085,Alabama,Lowndes County,AL
01087,Alabama,Macon County,AL
01089,Alabama,Madison County,AL
01091,Alabama,Marengo County,AL
01093,Alabama,Marion County,AL
01095,Alabama,Marshall County,AL
01097,Alabama,Mobile County,AL
01099,Alabama,Monroe County,AL
01101,Alabama,Montgomery County,AL
01103,Alabama,Morgan County,AL
01105,Alabama,Perry County,AL
01107,Alabama,Pickens County,AL
01109,Alabama,Pike County,AL
01111,Alabama,Randolph County,AL
01113,Alabama,Russell County,AL
01115,Alabama,St. Clair County,AL
01117,Alabama,Shelby County,AL
01119,Alabama,Sumter County,AL
01121,Alabama,Talladega County,AL
01123,Alabama,Tallapoosa County,AL
01125,Alabama,Tuscaloosa County,AL
01127,Alabama,Walker County,AL
01129,Alabama,Washington County,AL
01131,Alabama,Wilcox County,AL
01133,Alabama,Winston County,AL
02013,Alaska,Aleutians East Borough,AK
02016,Alaska,Aleutians West Census Area,AK
02020,Alaska,Anchorage Municipality,AK
02050,Alaska,Bethel Census Area,AK
02060,Alaska,Bristol Bay Borough,AK
02068,Alaska,Denali Borough,AK
02070,Alaska,Dillingham Census Area,AK
02090,Alaska,Fairbanks North Star Borough,AK
02100,Alaska,Haines Borough,AK
02105,Alaska,Hoonah-Angoon Census Area,AK
02110,Alaska,Juneau City and Borough,AK
02122,Alaska,Kenai Peninsula Borough,AK
02130,Alaska,Ketchikan Gateway Borough,AK
02150,Alaska,Kodiak Island Borough,AK
02164,Alaska,Lake and Peninsula Borough,AK
02170,Alaska,Matanuska-Susitna Borough,AK
02180,Alaska,Nome Census Area,AK
02185,Alaska,North Slope Borough,AK
02188,Alaska,Northwest Arctic Borough,AK
02195,Alaska,Petersburg Borough,AK
02198,Alaska,Prince of Wales-Hyder Census Area,AK
02220,Alaska,Sitka City and Borough,AK
02230,Alaska,Skagway Municipality,AK
02240,Alaska,Southeast Fairbanks Census Area,AK
02261,Alaska,Valdez-Cordova Census Area,AK
02275,Alaska,Wrangell City and Borough,AK
02282,Alaska,Yakutat City and Borough,AK
02290,Alaska,Yukon-Koyukuk Census Area,AK
04001,Arizona,Apache County,AZ
04003,Arizona,Cochise County,AZ
04005,Arizona,Coconino County,AZ
04007,Arizona,Gila County,AZ
04009,Arizona,Graham County,AZ
04011,Arizona,Greenlee County,AZ
04012,Arizona,La Paz County,AZ
04013,Arizona,Maricopa County,AZ
04015,Arizona,Mohave County,AZ
04017,Arizona,Navajo County,AZ
04019,Arizona,Pima County,AZ
04021,Arizona,Pinal County,AZ
04023,Arizona,Santa Cruz County,AZ
04025,Arizona,Yavapai County,AZ
04027,Arizona,Yuma County,AZ
05001,Arkansas,Arkansas County,AR
05003,Arkansas,Ashley County,AR
05005,Arkansas,Baxter County,AR
05007,Arkansas,Benton County,AR
05009,Arkansas,Boone County,AR
05011,Arkansas,Bradley County,AR
05013,Arkansas,Calhoun County,AR
05015,Arkansas,Carroll County,AR
05017,Arkansas,Chicot County,AR
05019,Arkansas,Clark County,AR
05021,Arkansas,Clay County,AR
05023,Arkansas,Cleburne County,AR
05025,Arkansas,Cleveland County,AR
05027,Arkansas,Columbia County,AR
05029,Arkansas,Conway County,AR
05031,Arkansas,Craighead County,AR
05033,Arkansas,Crawford County,AR
05035,Arkansas,Crittenden County,AR
05037,Arkansas,Cross County,AR
05039,Arkansas,Dallas County,AR
05041,Arkansas,Desha County,AR
05043,Arkansas,Drew County,AR
05045,Arkansas,Faulkner County,AR
05047,Arkansas,Franklin County,AR
05049,Arkansas,Fulton County,AR
05051,Arkansas,Garland County,AR
05053,Arkansas,Grant County,AR
05055,Arkansas,Greene County,AR
05057,Arkansas,Hempstead County,AR
05059,Arkansas,Hot Spring County,AR
05061,Arkansas,Howard County,AR
05063,Arkansas,Independence County,AR
05065,Arkansas,Izard County,AR
05067,Arkansas,Jackson County,AR
05069,Arkansas,Jefferson County,AR
05071,Arkansas,Johnson County,AR
05073,Arkansas,Lafayette County,AR
05075,Arkansas,Lawrence County,AR
05077,Arkansas,Lee County,AR
05079,Arkansas,Lincoln County,AR
05081,Arkansas,Little River County,AR
05083,Arkansas,Logan County,AR
05085,Arkansas,Lonoke County,AR
05087,Arkansas,Madison County,AR
05089,Arkansas,Marion County,AR
05091,Arkansas,Miller County,AR
05093,Arkansas,Mississippi County,AR
05095,Arkansas,Monroe County,AR
05097,Arkansas,Montgomery County,AR
05099,Arkansas,Nevada County,AR
05101,Arkansas,Newton County,AR
05103,Arkansas,Ouachita County,AR
05105,Arkansas,Perry County,AR
05107,Arkansas,Phillips County,AR
05109,Arkansas,Pike County,AR
05111,Arkansas,Poinsett County,AR
05113,Arkansas,Polk County,AR
05115,Arkansas,Pope County,AR
05117,Arkansas,Prairie County,AR
05119,Arkansas,Pulaski County,AR
05121,Arkansas,Randolph County,AR
05123,Arkansas,St. Francis County,AR
05125,Arkansas,Saline County,AR
05127,Arkansas,Scott County,AR
05129,Arkansas,Searcy County,AR
05131,Arkansas,Sebastian County,AR
05133,Arkansas,Sevier County,AR
05135,Arkansas,Sharp County,AR
05137,Arkansas,Stone County,AR
05139,Arkansas,Union County,AR
05141,Arkansas,Van Buren County,AR
05143,Arkansas,Washington County,AR
05145,Arkansas,White County,AR
05147,Arkansas,Woodruff County,AR
05149,Arkansas,Yell County,AR
06001,California,Alameda County,CA
06003,California,Alpine County,CA
06005,California,Amador County,CA
06007,California,Butte County,CA
06009,California,Calaveras County,CA
06011,California,Colusa County,CA
06013,California,Contra Costa County,CA
06015,California,Del Norte County,CA
06017,California,El Dorado County,CA
06019,California,Fresno County,CA
06021,California,Glenn County,CA
06023,California,Humboldt County,CA
06025,California,Imperial County,CA
06027,California,Inyo County,CA
06029,California,Kern County,CA
06031,California,Kings County,CA
06033,California,Lake County,CA
06035,California,Lassen County,CA
06037,California,Los Angeles County,CA
06039,California,Madera County,CA
06041,California,Marin County,CA
06043,California,Mariposa County,CA
06045,California,Mendocino County,CA
06047,California,Merced County,CA
06049,California,Modoc County,CA
06051,California,Mono County,CA
06053,California,Monterey County,CA
06055,California,Napa County,CA
06057,California,Nevada County,CA
06059,California,Orange County,CA
06061,California,Placer County,CA
06063,California,Plumas County,CA
06065,California,Riverside County,CA
06067,California,Sacramento County,CA
06069,California,San Benito County,CA
06071,California,San Bernardino County,CA
06073,California,San Diego County,CA
06075,California,San Francisco County,CA
06077,California,San Joaquin County,CA
06079,California,San Luis Obispo County,CA
06081,California,San Mateo County,CA
06083,California,Santa Barbara County,CA
06085,California,Santa Clara County,CA
06087,California,Santa Cruz County,CA
06089,California,Shasta County,CA
06091,California,Sierra County,CA
06093,California,Siskiyou County,CA
06095,California,Solano County,CA
06097,California,Sonoma County,CA
06099,California,Stanislaus County,CA
06101,California,Sutter County,CA
06103,California,Tehama County,CA
06105,California,Trinity County,CA
06107,California,Tulare County,CA
06109,California,Tuolumne County,CA
06111,California,Ventura County,CA
06113,California,Yolo County,CA
06115,California,Yuba County,CA
08001,Colorado,Adams County,CO
08003,Colorado,Alamosa County,CO
08005,Colorado,Arapahoe County,CO
08007,Colorado,Archuleta County,CO
08009,Colorado,Baca County,CO
08011,Colorado,Bent County,CO
08013,Colorado,Boulder County,CO
08014,Colorado,Broomfield County,CO
08015,Colorado,Chaffee County,CO
08017,Colorado,Cheyenne County,CO
08019,Colorado,Clear Creek County,CO
08021,Colorado,Conejos County,CO
08023,Colorado,Costilla County,CO
08025,Colorado,Crowley County,CO
08027,Colorado,Custer County,CO
08029,Colorado,Delta County,CO
08031,Colorado,Denver County,CO
08033,Colorado,Dolores County,CO
08035,Colorado,Douglas County,CO
08037,Colorado,Eagle County,CO
08039,Colorado,Elbert County,CO
08041,Colorado,El Paso County,CO
08043,Colorado,Fremont County,CO
08045,Colorado,Garfield County,CO
08047,Colorado,Gilpin County,CO
08049,Colorado,Grand County,CO
08051,Colorado,Gunnison County,CO
08053,Colorado,Hinsdale County,CO
08055,Colorado,Huerfano County,CO
08057,Colorado,Jackson County,CO
08059,Colorado,Jefferson County,CO
08061,Colorado,Kiowa County,CO
08063,Colorado,Kit Carson County,CO
