county,state,population2013,Core_Based_Statistical_Area
Autauga,Alabama,55246,"Montgomery, AL Metropolitan Statistical Area"
Baldwin,Alabama,195540,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area"
Barbour,Alabama,27076,
Bibb,Alabama,22512,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Blount,Alabama,57872,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Bullock,Alabama,10639,
Butler,Alabama,20265,
Calhoun,Alabama,116736,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area"
Chambers,Alabama,34162,"Valley, AL Micropolitan Statistical Area"
Cherokee,Alabama,26203,
Chilton,Alabama,43951,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Choctaw,Alabama,13426,
Clarke,Alabama,25207,
Clay,Alabama,13486,
Cleburne,Alabama,14994,
Coffee,Alabama,50938,"Enterprise, AL Micropolitan Statistical Area"
Colbert,Alabama,54520,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
Conecuh,Alabama,12887,
Coosa,Alabama,10898,"Talladega-Sylacauga, AL Micropolitan Statistical Area"
Covington,Alabama,37886,
Crenshaw,Alabama,13986,
Cullman,Alabama,80811,"Cullman, AL Micropolitan Statistical Area"
Dale,Alabama,49884,"Ozark, AL Micropolitan Statistical Area"
Dallas,Alabama,41996,"Selma, AL Micropolitan Statistical Area"
DeKalb,Alabama,71013,
Elmore,Alabama,80902,"Montgomery, AL Metropolitan Statistical Area"
Escambia,Alabama,37983,
Etowah,Alabama,103931,"Gadsden, AL Metropolitan Statistical Area"
Fayette,Alabama,16909,
Franklin,Alabama,31532,
Geneva,Alabama,26727,"Dothan, AL Metropolitan Statistical Area"
Greene,Alabama,8744,
Hale,Alabama,15406,"Tuscaloosa, AL Metropolitan Statistical Area"
Henry,Alabama,17296,"Dothan, AL Metropolitan Statistical Area"
Houston,Alabama,103668,"Dothan, AL Metropolitan Statistical Area"
Jackson,Alabama,52951,"Scottsboro, AL Micropolitan Statistical Area"
Jefferson,Alabama,659479,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Lamar,Alabama,14236,
Lauderdale,Alabama,92797,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
Lawrence,Alabama,33587,"Decatur, AL Metropolitan Statistical Area"
Lee,Alabama,150933,"Auburn-Opelika, AL Metropolitan Statistical Area"
Limestone,Alabama,88845,"Huntsville, AL Metropolitan Statistical Area"
Lowndes,Alabama,10703,"Montgomery, AL Metropolitan Statistical Area"
Macon,Alabama,19688,
Madison,Alabama,346892,"Huntsville, AL Metropolitan Statistical Area"
Marengo,Alabama,20155,
Marion,Alabama,30334,
Marshall,Alabama,94760,"Albertville, AL Micropolitan Statistical Area"
Mobile,Alabama,414079,"Mobile, AL Metropolitan Statistical Area"
Monroe,Alabama,22236,
Montgomery,Alabama,226659,"Montgomery, AL Metropolitan Statistical Area"
Morgan,Alabama,119787,"Decatur, AL Metropolitan Statistical Area"
Perry,Alabama,10020,
Pickens,Alabama,19401,"Tuscaloosa, AL Metropolitan Statistical Area"
Pike,Alabama,33339,"Troy, AL Micropolitan Statistical Area"
Randolph,Alabama,22727,
Russell,Alabama,59585,"Columbus, GA-AL Metropolitan Statistical Area"
St. Clair,Alabama,86308,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Shelby,Alabama,204180,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Sumter,Alabama,13361,
Talladega,Alabama,81096,"Talladega-Sylacauga, AL Micropolitan Statistical Area"
Tallapoosa,Alabama,41203,
Tuscaloosa,Alabama,200821,"Tuscaloosa, AL Metropolitan Statistical Area"
Walker,Alabama,65998,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Washington,Alabama,16877,
Wilcox,Alabama,11307,
Winston,Alabama,24146,
Aleutians East Borough,Alaska,3092,
Aleutians West Census Area,Alaska,5511,
"Anchorage, Municipality of",Alaska,300950,"Anchorage, AK Metropolitan Statistical Area"
Bethel Census Area,Alaska,17758,
Bristol Bay Borough,Alaska,960,
Chugach Census Area,Alaska,6734,
Copper River Census Area,Alaska,2764,
Denali Borough,Alaska,1867,
Dillingham Census Area,Alaska,5010,
Fairbanks North Star Borough,Alaska,100436,"Fairbanks, AK Metropolitan Statistical Area"
Haines Borough,Alaska,2592,
Hoonah–Angoon Census Area,Alaska,2145,
"Juneau, City and Borough of",Alaska,32660,"Juneau, AK Micropolitan Statistical Area"
Kenai Peninsula Borough,Alaska,57147,
Ketchikan Gateway Borough,Alaska,13729,"Ketchikan, AK Micropolitan Statistical Area"
Kodiak Island Borough,Alaska,14135,
Kusilvak Census Area,Alaska,7977,
Lake and Peninsula Borough,Alaska,1648,
Matanuska-Susitna Borough,Alaska,95192,"Anchorage, AK Metropolitan Statistical Area"
Nome Census Area,Alaska,9892,
North Slope Borough,Alaska,9686,
Northwest Arctic Borough,Alaska,7685,
Petersburg Borough,Alaska,3774,
Prince of Wales – Hyder Census Area,Alaska,5786,
