SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019
010,0,0,00,United States,308745538,308758105,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,563561,2235208,2274116,2162725,2307293,2334155,2306148,2044228,1701962,1552022,987836,3973485,3936976,3940576,3963195,3992376,3962654,3901982,3824521,3791712,598691,2512442,2501531,2608019,2582448,2699826,2703215,2788163,2824382,2835038,389145,1461043,1435445,1332557,1380747,1292550,1259439,1113819,1000139,956674,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,595348,0,0,0,0,0,0,0,0,0,0,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,595348,0,0,0,0,0,0,0,0,0,0,12.799556577,12.590509751,12.513246841,12.496383326,12.496947837,12.314477487,12.044513976,11.737545564,11.579036629,8.0931835718,7.9999345814,8.2817297553,8.1427384033,8.4510037858,8.400602288,8.6064128999,8.6680952767,8.6575691523,4.7063730049,4.5905751698,4.2315170854,4.3536449223,4.045944051,3.9138751986,3.4381010758,3.0694502875,2.9214674764,2.4937727756,2.6820827467,2.636187477,2.9214999476,3.2604352274,3.2527882615,2.8719569192,2.1539114155,1.8180590453,0,0,0,0,0,0,0,0,0,2.4937727756,2.6820827467,2.636187477,2.9214999476,3.2604352274,3.2527882615,2.8719569192,2.1539114155,1.8180590453
020,1,0,00,Northeast Region,55317240,55318443,55380134,55604223,55775216,55901806,56006011,56034684,56042330,56059240,56046620,55982803,61691,224089,170993,126590,104205,28673,7646,16910,-12620,-63817,163466,646249,637860,635751,632433,634504,628030,618490,610713,602740,110878,470811,460915,479963,470268,489209,480502,497919,503076,505588,52588,175438,176945,155788,162165,145295,147528,120571,107637,97152,45032,204242,205018,191468,219965,224592,234098,213507,179097,134145,-32807,-154970,-207154,-217700,-275141,-340104,-373661,-316475,-298739,-294331,12225,49272,-2136,-26232,-55176,-115512,-139563,-102968,-119642,-160186,-3122,-621,-3816,-2966,-2784,-1110,-319,-693,-615,-783,11.64576734,11.453819587,11.385529245,11.302749298,11.326313176,11.207115136,11.034457412,10.89529129,10.760387474,8.4842767526,8.2764826998,8.5955551358,8.4045603356,8.7327019883,8.5744968188,8.8833546221,8.9750170062,9.025985968,3.1614905874,3.1773368871,2.7899741094,2.8981889621,2.5936111874,2.6326183173,2.1511027901,1.9202742836,1.7344015063,3.680554729,3.6814335184,3.4289596297,3.9311820371,4.0091147239,4.1774489103,3.8091705584,3.1951407357,2.3948172972,-2.792645814,-3.719788892,-3.89874293,-4.917279371,-6.071079798,-6.66793282,-5.646218871,-5.329587588,-5.254530321,0.8879089149,-0.038355374,-0.469783301,-0.986097334,-2.061965074,-2.49048391,-1.837048313,-2.134446852,-2.859713024
020,2,0,00,Midwest Region,66927001,66929725,66974416,67157800,67336743,67560379,67745167,67860583,67987540,68126781,68236628,68329004,44691,183384,178943,223636,184788,115416,126957,139241,109847,92376,212570,834866,830701,830890,836538,838012,831641,818785,801587,792343,140862,586660,584671,605165,596898,626084,619187,640407,627911,622854,71708,248206,246030,225725,239640,211928,212454,178378,173676,169489,24720,114945,118864,124489,132052,140410,143098,124250,94152,85675,-50673,-179592,-184359,-124956,-183669,-234550,-227445,-162183,-157067,-161549,-25953,-64647,-65495,-467,-51617,-94140,-84347,-37933,-62915,-75874,-1064,-175,-1592,-1622,-3235,-2372,-1150,-1204,-914,-1239,12.448403894,12.352932416,12.31886919,12.365169422,12.359534902,12.243687754,12.030842809,11.756628936,11.60384188,8.7474883737,8.6943453163,8.9722447896,8.8229642856,9.2338857312,9.1158712587,9.4098401299,9.2093766884,9.1216800432,3.7009155205,3.6585870997,3.3466244002,3.5422051362,3.1256491705,3.1278164955,2.6210026791,2.5472522471,2.482161837,1.713905927,1.7675661384,1.8456880051,1.9519081649,2.0708561399,2.1067350338,1.8256712312,1.3808983024,1.2547080659,-2.677835428,-2.741508999,-1.8526118,-2.71487763,-3.45929284,-3.348518846,-2.383040944,-2.303653174,-2.365880751,-0.963929501,-0.973942861,-0.006923795,-0.762969465,-1.3884367,-1.241783812,-0.557369713,-0.922754872,-1.111172685
020,3,0,00,South Region,114555744,114563030,114866680,116006522,117241208,118364400,119624037,120997341,122351760,123542189,124569433,125580448,303650,1139842,1234686,1123192,1259637,1373304,1354419,1190429,1027244,1011015,368759,1509634,1504955,1504774,1525313,1545679,1541412,1519344,1494950,1481244,228435,963051,960791,1011227,1006109,1052226,1058081,1092315,1116929,1122130,140324,546583,544164,493547,519204,493453,483331,427029,378021,359114,67464,279639,338025,323413,358590,422001,428463,395903,299648,242942,91267,312610,344278,300008,374593,453543,441519,366143,348608,407913,158731,592249,682303,623421,733183,875544,869982,762046,648256,650855,4595,1010,8219,6224,7250,4307,1106,1354,967,1046,13.077602657,12.904348522,12.773668783,12.818379071,12.847395463,12.668318836,12.357717676,12.050624537,11.842851926,8.3426832708,8.2383738526,8.5840656221,8.4551082623,8.7459061929,8.695992676,8.8844398526,9.003439589,8.9716612737,4.7349193866,4.6659746699,4.1896031609,4.3632708088,4.10148927,3.9723261604,3.4732778235,3.0471849481,2.8711906523,2.4224465861,2.8984204905,2.7453760778,3.0135077529,3.5075935772,3.5213855177,3.2201117727,2.4154289717,1.9423715017,2.7080665689,2.9520373039,2.5466965965,3.1479932783,3.7697647962,3.6286881536,2.9780562026,2.8100900489,3.2613487432,5.130513155,5.8504577944,5.2920726743,6.1615010312,7.2773583734,7.1500736713,6.1981679753,5.2255190206,5.2037202448
020,4,0,00,West Region,71945553,71946907,72100436,72788329,73477823,74167130,74925793,75742555,76559681,77257329,77834820,78347268,153529,687893,689494,689307,758663,816762,817126,697648,577491,512448,243041,982736,963460,969161,968911,974181,961571,945363,917271,915385,118516,491920,495154,511664,509173,532307,545445,557522,576466,584466,124525,490816,468306,457497,459738,441874,416126,387841,340805,330919,37200,175339,176764,190798,215939,254602,241050,196749,128926,132586,-7787,21952,47235,42648,84217,121111,159587,112515,107198,47967,29413,197291,223999,233446,300156,375713,400637,309264,236124,180553,-409,-214,-2811,-1636,-1231,-825,363,543,562,976,13.565385832,13.17406641,13.128264533,12.997411017,12.931461889,12.627142257,12.292047544,11.828722549,11.722022822,6.7903125546,6.7705890013,6.9310056267,6.8302772493,7.065943273,7.162665688,7.2491592445,7.4338514711,7.4844178034,6.7750732778,6.4034774088,6.1972589066,6.167133768,5.8655186158,5.4644765688,5.0428882995,4.3948710776,4.2376050191,2.4203256892,2.4170185321,2.5845516033,2.8967035545,3.379634852,3.1654164289,2.5582216167,1.6625728747,1.6978387432,0.303018664,0.6458773866,0.5777102317,1.1297249837,1.6076502014,2.0956619442,1.4629721381,1.3823781628,0.6142445733,2.7233443532,3.0628959187,3.162261835,4.0264285381,4.9872850534,5.2610783731,4.0211937548,3.0449510375,2.3120833165
040,3,6,01,Alabama,4779736,4780125,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5312,13632,16519,14493,11718,10548,11178,10961,13195,15504,14226,59690,59067,57929,58903,59647,59389,58961,58271,57313,11075,48833,48366,50851,49712,51876,51710,53195,53665,53879,3151,10857,10701,7078,9191,7771,7679,5766,4606,3434,924,4665,5817,5046,3684,4580,5777,3011,3379,2772,1244,-1893,-114,2297,-959,-1544,-2157,2298,5279,9387,2168,2772,5703,7343,2725,3036,3620,5309,8658,12159,-7,3,115,72,-198,-259,-121,-114,-69,-89,12.455519356,12.286865772,12.011401179,12.180258647,12.305777115,12.225150764,12.109454384,11.938128082,11.707442426,10.189987883,10.060889328,10.543799502,10.279697432,10.702541513,10.644438296,10.925228982,10.994485138,11.005972301,2.2655314734,2.2259764441,1.467601677,1.9005612146,1.6032356022,1.5807124672,1.1842254029,0.9436429432,0.7014701253,0.9734461014,1.2100275652,1.0462726847,0.7617960521,0.944900149,1.1891881655,0.6184014374,0.6922643302,0.5662420464,-0.395012534,-0.023713794,0.4762759328,-0.198306844,-0.318542758,-0.44401573,0.4719649629,1.0815221661,1.9175014754,0.5784335677,1.1863137707,1.5225486174,0.5634892079,0.6263573914,0.7451724354,1.0903664003,1.7737864964,2.4837435218
040,4,9,02,Alaska,710231,710249,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,3661,8218,8315,6625,-785,1215,3958,-1756,-4561,-3594,2892,11716,11124,11350,11443,11330,11246,10803,10284,10031,920,3937,3940,4039,4024,4350,4447,4463,4664,4819,1972,7779,7184,7311,7419,6980,6799,6340,5620,5212,430,1314,2348,2863,1198,2273,2303,2612,537,659,1168,-892,-1319,-3564,-9641,-8166,-5185,-10753,-10757,-9482,1598,422,1029,-701,-8443,-5893,-2882,-8141,-10220,-8823,91,17,102,15,239,128,41,45,39,17,16.317116957,15.316290908,15.468367869,15.533297904,15.375418736,15.208045686,14.58725482,13.945929013,13.678474709,5.483141811,5.4248639137,5.5045583985,5.4623779398,5.9031837159,6.0137096894,6.0263739944,6.32475816,6.5712859757,10.833975146,9.8914269939,9.9638094706,10.070919964,9.47223502,9.1943359969,8.5608808255,7.6211708532,7.1071887332,1.8300351383,3.232888444,3.901844688,1.6262248439,3.0845831233,3.1143632594,3.5269748764,0.7282150797,0.8986257435,-1.242306958,-1.816090229,-4.857203796,-13.08717339,-11.08170074,-7.011712332,-14.51973999,-14.58735496,-12.92984719,0.5877281799,1.416798215,-0.955359108,-11.46094855,-7.997117618,-3.897349072,-10.99276511,-13.85913988,-12.03122145
040,4,8,04,Arizona,6392017,6392288,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,14884,65471,82335,77786,97649,99263,111396,102936,114016,120693,20934,86097,85577,86093,86129,86764,84957,83021,81767,81942,11505,48174,48754,50612,50236,52846,56032,56333,60127,60523,9429,37923,36823,35481,35893,33918,28925,26688,21640,21419,2550,16489,15100,17997,21312,19511,20062,13385,7937,7782,3122,11062,29844,24050,39948,45561,62320,62686,84113,91017,5672,27551,44944,42047,61260,65072,82382,76071,92050,98799,-217,-3,568,258,496,273,89,177,326,475,13.369291407,13.137778571,13.056518697,12.890497522,12.796966156,12.338763297,11.872795865,11.514831117,11.351869511,7.4805422283,7.4847126732,7.6756127016,7.5185713697,7.7943441227,8.13782955,8.0561569902,8.4673798792,8.3845793175,5.8887491785,5.6530658974,5.3809059959,5.371926152,5.0026220329,4.2009337474,3.8166388751,3.047451238,2.9672901938,2.5604405032,2.3181515643,2.729352758,3.1896606623,2.8777097259,2.9137124577,1.9141828291,1.1177273787,1.0780826504,1.7177265357,4.5816500188,3.6473264339,5.9788177617,6.7198673991,9.0510697022,8.9646966624,11.845206376,12.609078462,4.2781670389,6.8998015831,6.3766791919,9.168478424,9.597577125,11.96478216,10.878879492,12.962933755,13.687161112
040,3,7,05,Arkansas,2915918,2916031,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,5933,18703,11497,7236,7992,10656,11870,11427,8388,8071,9438,38453,38594,37978,38225,38796,38612,37737,37239,36640,6979,29455,29772,30994,29967,31318,31134,32340,31743,31322,2459,8998,8822,6984,8258,7478,7478,5397,5496,5318,801,3662,3732,2321,3100,3303,3366,2039,588,268,2469,5996,-1293,-2150,-3371,-106,1069,3981,2294,2515,3270,9658,2439,171,-271,3197,4435,6020,2882,2783,204,47,236,81,5,-19,-43,10,10,-30,13.118001116,13.098627807,12.848714824,12.899052304,13.05067413,12.939752003,12.597343832,12.390123702,12.15753632,10.048389537,10.104481191,10.485888337,10.112384575,10.535132808,10.433705554,10.795720368,10.561499951,10.392968139,3.0696115788,2.9941466165,2.3628264872,2.7866677285,2.5155413224,2.5060464487,1.801623464,1.828623751,1.764568181,1.2492684598,1.266623801,0.7852405895,1.0460971129,1.1111036357,1.1280225122,0.6806578179,0.1956387856,0.0889252111,2.0454980025,-0.43883831,-0.727387879,-1.137546248,-0.03565758,0.3582460088,1.3289351511,0.763257439,0.8345033801,3.2947664624,0.8277854905,0.0578527104,-0.091449135,1.0754460561,1.486268521,2.009592969,0.9588962246,0.9234285911
040,4,9,06,California,37253956,37254519,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,64983,318867,310431,311987,336185,321073,249072,191380,103091,50635,123327,509771,497451,499629,498914,500380,490358,481943,465017,462617,57319,238388,239535,247704,244055,253798,260121,265241,277578,282520,66008,271383,257916,251925,254859,246582,230237,216702,187439,180097,19635,99179,98297,116528,131001,156870,141892,112814,71300,74028,-20356,-51326,-41795,-53692,-46321,-79938,-122369,-137546,-155281,-203414,-721,47853,56502,62836,84680,76932,19523,-24732,-83981,-129386,-304,-369,-3987,-2774,-3354,-2441,-688,-590,-367,-76,13.601533587,13.162313302,13.111972382,12.982788114,12.910530614,12.559569256,12.274797367,11.799454416,11.715706616,6.3605862018,6.337980458,6.5005994587,6.3508226931,6.5483569461,6.6624949821,6.7555282026,7.0433316584,7.1547769171,7.240947385,6.8243328441,6.6113729235,6.6319654207,6.3621736676,5.8970742739,5.5192691648,4.7561227573,4.5609296986,2.6462597904,2.6008911645,3.0580929405,3.408920627,4.0474737947,3.6342884196,2.8733044991,1.8091835349,1.8747480731,-1.369462588,-1.105875522,-1.409061566,-1.205369519,-2.06251648,-3.134244634,-3.503213614,-3.940137847,-5.15142925,1.2767972025,1.4950156421,1.6490313745,2.203551108,1.9849573148,0.5000437855,-0.629909115,-2.130954312,-3.276681177
