COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
01001,0.053,0.074,0.134,0.295,0.444
01003,0.083,0.059,0.098,0.323,0.436
01005,0.067,0.121,0.12,0.201,0.491
01007,0.02,0.034,0.096,0.278,0.572
01009,0.053,0.114,0.18,0.194,0.459
01011,0.031,0.04,0.144,0.286,0.5
01013,0.102,0.053,0.257,0.137,0.451
01015,0.152,0.108,0.13,0.167,0.442
01017,0.117,0.037,0.15,0.136,0.56
01019,0.135,0.027,0.161,0.158,0.52
01021,0.06,0.07,0.058,0.194,0.618
01023,0.049,0.038,0.126,0.219,0.568
01025,0.049,0.088,0.164,0.268,0.43
01027,0.148,0.158,0.195,0.169,0.329
01029,0.151,0.125,0.138,0.217,0.368
01031,0.101,0.152,0.094,0.186,0.466
01033,0.082,0.096,0.152,0.159,0.51
01035,0.099,0.052,0.259,0.192,0.399
01037,0.055,0.131,0.167,0.263,0.384
01039,0.187,0.128,0.129,0.201,0.356
01041,0.06,0.091,0.199,0.233,0.416
01043,0.13,0.024,0.249,0.217,0.379
01045,0.089,0.113,0.118,0.22,0.46
01047,0.095,0.1,0.159,0.122,0.524
01049,0.084,0.051,0.106,0.179,0.58
01051,0.042,0.095,0.127,0.252,0.485
01053,0.114,0.026,0.188,0.285,0.387
01055,0.096,0.103,0.178,0.122,0.501
01057,0.138,0.048,0.151,0.233,0.429
01059,0.065,0.071,0.223,0.156,0.484
01061,0.176,0.131,0.089,0.158,0.445
01063,0.03,0.053,0.127,0.167,0.623
01065,0.026,0.061,0.084,0.191,0.639
01067,0.066,0.068,0.17,0.258,0.438
01069,0.085,0.079,0.135,0.268,0.433
01071,0.092,0.089,0.11,0.249,0.46
01073,0.049,0.037,0.107,0.179,0.628
01075,0.107,0.045,0.132,0.189,0.527
01077,0.093,0.119,0.141,0.179,0.469
01079,0.162,0.08,0.088,0.251,0.419
01081,0.053,0.064,0.138,0.183,0.562
01083,0.102,0.034,0.133,0.336,0.395
01085,0.12,0.073,0.145,0.199,0.464
01087,0.008,0.033,0.241,0.172,0.545
01089,0.062,0.05,0.123,0.177,0.589
01091,0.033,0.151,0.118,0.186,0.512
01093,0.129,0.064,0.246,0.207,0.353
01095,0.075,0.064,0.129,0.253,0.479
01097,0.077,0.07,0.102,0.244,0.506
01099,0.112,0.041,0.182,0.288,0.378
01101,0.056,0.095,0.123,0.212,0.513
01103,0.078,0.077,0.082,0.304,0.459
01105,0.025,0.084,0.087,0.187,0.618
01107,0.031,0.06,0.169,0.157,0.584
01109,0.06,0.131,0.145,0.333,0.33
01111,0.158,0.226,0.105,0.144,0.368
01113,0.069,0.067,0.08,0.213,0.57
01115,0.027,0.134,0.144,0.2,0.495
01117,0.022,0.075,0.118,0.24,0.545
01119,0.055,0.068,0.118,0.197,0.562
01121,0.113,0.15,0.208,0.169,0.361
01123,0.067,0.095,0.136,0.296,0.406
01125,0.041,0.036,0.144,0.247,0.532
01127,0.09,0.081,0.145,0.256,0.429
01129,0.018,0.077,0.102,0.307,0.495
01131,0.061,0.098,0.199,0.187,0.455
01133,0.13,0.046,0.328,0.183,0.312
02013,0.067,0.032,0.034,0.316,0.551
02016,0.078,0.031,0.03,0.337,0.524
02020,0.042,0.05,0.049,0.196,0.663
02050,0.101,0.022,0.014,0.45,0.413
02060,0.048,0.037,0.042,0.308,0.564
02068,0.062,0.081,0.067,0.225,0.565
02070,0.072,0.025,0.027,0.391,0.484
02090,0.094,0.084,0.175,0.234,0.413
