country,placename,frequency,start_date,end_date,year,month,week,deaths,expected_deaths,excess_deaths,baseline
Austria,,weekly,2020-01-06,2020-01-12,2020,1,2,1702,1806,-104,2015-2019 historical data
Austria,,weekly,2020-01-13,2020-01-19,2020,1,3,1797,1819,-22,2015-2019 historical data
Austria,,weekly,2020-01-20,2020-01-26,2020,1,4,1779,1831,-52,2015-2019 historical data
Austria,,weekly,2020-01-27,2020-02-02,2020,2,5,1947,1837,110,2015-2019 historical data
Austria,,weekly,2020-02-03,2020-02-09,2020,2,6,1681,1837,-156,2015-2019 historical data
Austria,,weekly,2020-02-10,2020-02-16,2020,2,7,1721,1829,-108,2015-2019 historical data
Austria,,weekly,2020-02-17,2020-02-23,2020,2,8,1718,1812,-94,2015-2019 historical data
Austria,,weekly,2020-02-24,2020-03-01,2020,3,9,1768,1786,-18,2015-2019 historical data
Austria,,weekly,2020-03-02,2020-03-08,2020,3,10,1744,1753,-9,2015-2019 historical data
Austria,,weekly,2020-03-09,2020-03-15,2020,3,11,1718,1717,1,2015-2019 historical data
Austria,,weekly,2020-03-16,2020-03-22,2020,3,12,1836,1678,158,2015-2019 historical data
Austria,,weekly,2020-03-23,2020-03-29,2020,3,13,1765,1640,125,2015-2019 historical data
Austria,,weekly,2020-03-30,2020-04-05,2020,4,14,1828,1603,225,2015-2019 historical data
Austria,,weekly,2020-04-06,2020-04-12,2020,4,15,1793,1570,223,2015-2019 historical data
Austria,,weekly,2020-04-13,2020-04-19,2020,4,16,1704,1539,165,2015-2019 historical data
Austria,,weekly,2020-04-20,2020-04-26,2020,4,17,1588,1512,76,2015-2019 historical data
Austria,,weekly,2020-04-27,2020-05-03,2020,5,18,1480,1487,-7,2015-2019 historical data
Austria,,weekly,2020-05-04,2020-05-10,2020,5,19,1520,1467,53,2015-2019 historical data
Austria,,weekly,2020-05-11,2020-05-17,2020,5,20,1489,1450,39,2015-2019 historical data
Austria,,weekly,2020-05-18,2020-05-24,2020,5,21,1481,1437,44,2015-2019 historical data
Austria,,weekly,2020-05-25,2020-05-31,2020,5,22,1417,1430,-13,2015-2019 historical data
Austria,,weekly,2020-06-01,2020-06-07,2020,6,23,1490,1427,63,2015-2019 historical data
Austria,,weekly,2020-06-08,2020-06-14,2020,6,24,1461,1429,32,2015-2019 historical data
Austria,,weekly,2020-06-15,2020-06-21,2020,6,25,1413,1435,-22,2015-2019 historical data
Austria,,weekly,2020-06-22,2020-06-28,2020,6,26,1437,1444,-7,2015-2019 historical data
Austria,,weekly,2020-06-29,2020-07-05,2020,7,27,1561,1453,108,2015-2019 historical data
Austria,,weekly,2020-07-06,2020-07-12,2020,7,28,1383,1461,-78,2015-2019 historical data
Austria,,weekly,2020-07-13,2020-07-19,2020,7,29,1443,1466,-23,2015-2019 historical data
Austria,,weekly,2020-07-20,2020-07-26,2020,7,30,1452,1467,-15,2015-2019 historical data
Austria,,weekly,2020-07-27,2020-08-02,2020,8,31,1527,1465,62,2015-2019 historical data
