,date,county,state,fips,cases,deaths,state_population
0,2020-01-21,Snohomish,Washington,53061.0,1,0,7614893
1,2020-01-22,Snohomish,Washington,53061.0,1,0,7614893
2,2020-01-23,Snohomish,Washington,53061.0,1,0,7614893
3,2020-01-24,Snohomish,Washington,53061.0,1,0,7614893
4,2020-01-25,Snohomish,Washington,53061.0,1,0,7614893
5,2020-01-26,Snohomish,Washington,53061.0,1,0,7614893
6,2020-01-27,Snohomish,Washington,53061.0,1,0,7614893
7,2020-01-28,Snohomish,Washington,53061.0,1,0,7614893
8,2020-01-29,Snohomish,Washington,53061.0,1,0,7614893
9,2020-01-30,Snohomish,Washington,53061.0,1,0,7614893
10,2020-01-31,Snohomish,Washington,53061.0,1,0,7614893
11,2020-02-01,Snohomish,Washington,53061.0,1,0,7614893
12,2020-02-02,Snohomish,Washington,53061.0,1,0,7614893
13,2020-02-03,Snohomish,Washington,53061.0,1,0,7614893
14,2020-02-04,Snohomish,Washington,53061.0,1,0,7614893
15,2020-02-05,Snohomish,Washington,53061.0,1,0,7614893
16,2020-02-06,Snohomish,Washington,53061.0,1,0,7614893
17,2020-02-07,Snohomish,Washington,53061.0,1,0,7614893
18,2020-02-08,Snohomish,Washington,53061.0,1,0,7614893
19,2020-02-09,Snohomish,Washington,53061.0,1,0,7614893
20,2020-02-10,Snohomish,Washington,53061.0,1,0,7614893
21,2020-02-11,Snohomish,Washington,53061.0,1,0,7614893
22,2020-02-12,Snohomish,Washington,53061.0,1,0,7614893
23,2020-02-13,Snohomish,Washington,53061.0,1,0,7614893
24,2020-02-14,Snohomish,Washington,53061.0,1,0,7614893
25,2020-02-15,Snohomish,Washington,53061.0,1,0,7614893
26,2020-02-16,Snohomish,Washington,53061.0,1,0,7614893
27,2020-02-17,Snohomish,Washington,53061.0,1,0,7614893
28,2020-02-18,Snohomish,Washington,53061.0,1,0,7614893
29,2020-02-19,Snohomish,Washington,53061.0,1,0,7614893
30,2020-02-20,Snohomish,Washington,53061.0,1,0,7614893
31,2020-02-21,Snohomish,Washington,53061.0,1,0,7614893
32,2020-02-22,Snohomish,Washington,53061.0,1,0,7614893
33,2020-02-23,Snohomish,Washington,53061.0,1,0,7614893
34,2020-02-24,Snohomish,Washington,53061.0,1,0,7614893
35,2020-02-24,Spokane,Washington,53063.0,4,0,7614893
36,2020-02-25,Snohomish,Washington,53061.0,1,0,7614893
37,2020-02-25,Spokane,Washington,53063.0,4,0,7614893
38,2020-02-26,Snohomish,Washington,53061.0,1,0,7614893
39,2020-02-26,Spokane,Washington,53063.0,4,0,7614893
40,2020-02-27,Snohomish,Washington,53061.0,1,0,7614893
41,2020-02-27,Spokane,Washington,53063.0,4,0,7614893
42,2020-02-28,King,Washington,53033.0,1,0,7614893
43,2020-02-28,Snohomish,Washington,53061.0,2,0,7614893
44,2020-02-28,Spokane,Washington,53063.0,4,0,7614893
45,2020-02-29,King,Washington,53033.0,4,1,7614893
46,2020-02-29,Snohomish,Washington,53061.0,2,0,7614893
47,2020-02-29,Spokane,Washington,53063.0,4,0,7614893
48,2020-03-01,King,Washington,53033.0,11,3,7614893
49,2020-03-01,Snohomish,Washington,53061.0,2,0,7614893
50,2020-03-01,Spokane,Washington,53063.0,4,0,7614893
51,2020-03-02,King,Washington,53033.0,15,6,7614893
52,2020-03-02,Snohomish,Washington,53061.0,3,0,7614893
53,2020-03-02,Spokane,Washington,53063.0,4,0,7614893
54,2020-03-02,Walla Walla,Washington,53071.0,1,0,7614893
55,2020-03-03,King,Washington,53033.0,22,10,7614893
56,2020-03-03,Snohomish,Washington,53061.0,5,0,7614893
57,2020-03-03,Spokane,Washington,53063.0,4,0,7614893
58,2020-03-03,Walla Walla,Washington,53071.0,1,0,7614893
59,2020-03-04,Chelan,Washington,53007.0,1,0,7614893
60,2020-03-04,King,Washington,53033.0,33,11,7614893
61,2020-03-04,Snohomish,Washington,53061.0,8,0,7614893
62,2020-03-04,Spokane,Washington,53063.0,4,0,7614893
63,2020-03-04,Walla Walla,Washington,53071.0,1,0,7614893
64,2020-03-05,Chelan,Washington,53007.0,1,0,7614893
65,2020-03-05,King,Washington,53033.0,52,11,7614893
66,2020-03-05,Snohomish,Washington,53061.0,17,0,7614893
67,2020-03-05,Spokane,Washington,53063.0,4,0,7614893
68,2020-03-05,Walla Walla,Washington,53071.0,1,0,7614893
69,2020-03-06,Chelan,Washington,53007.0,1,0,7614893
70,2020-03-06,Clark,Washington,53011.0,1,0,7614893
71,2020-03-06,Jefferson,Washington,53031.0,1,0,7614893
72,2020-03-06,King,Washington,53033.0,59,12,7614893
73,2020-03-06,Pierce,Washington,53053.0,1,0,7614893
74,2020-03-06,Snohomish,Washington,53061.0,18,0,7614893
75,2020-03-06,Spokane,Washington,53063.0,4,0,7614893
76,2020-03-06,Walla Walla,Washington,53071.0,1,0,7614893
77,2020-03-07,Chelan,Washington,53007.0,1,0,7614893
