date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
2020-06-24,Alabama,01,31097,864,30670,854,427,10
2020-06-24,Alaska,02,905,10,905,10,0,0
2020-06-24,Arizona,04,58397,1398,,,,
2020-06-24,Arkansas,05,16678,237,16678,237,0,0
2020-06-24,California,06,191039,5637,191039,5637,0,0
2020-06-24,Colorado,08,30877,1665,,,,
2020-06-24,Connecticut,09,45899,4277,,,,
2020-06-24,Delaware,10,10847,504,,,,
2020-06-24,District of Columbia,11,10094,537,10094,537,0,0
2020-06-24,Florida,12,103495,3237,103495,3237,0,0
2020-06-24,Georgia,13,64577,2646,64577,2646,0,0
2020-06-24,Guam,66,1194,6,1186,6,8,0
2020-06-24,Hawaii,15,807,17,,,,
2020-06-24,Idaho,16,4412,108,3945,85,467,23
2020-06-24,Illinois,17,139282,6925,138282,6721,1000,204
2020-06-24,Indiana,18,43967,2569,42871,2377,1096,192
2020-06-24,Iowa,19,26470,690,26470,690,0,0
2020-06-24,Kansas,20,12659,261,,,,
2020-06-24,Kentucky,21,14323,559,,,,
2020-06-24,Louisiana,22,51708,3134,51595,3021,113,113
2020-06-24,Maine,23,2994,102,2655,102,339,0
2020-06-24,Maryland,24,65602,3092,65498,2963,104,129
2020-06-24,Massachusetts,25,107439,7889,107439,7889,0,0
2020-06-24,Michigan,26,68373,6113,61567,5865,6806,248
2020-06-24,Minnesota,27,33501,1425,33469,1393,32,32
2020-06-24,Mississippi,28,22898,989,22136,961,762,28
2020-06-24,Missouri,29,19148,993,19126,993,22,0
2020-06-24,Montana,30,743,21,743,21,0,0
2020-06-24,Nebraska,31,18092,262,18092,262,0,0
2020-06-24,Nevada,32,14058,492,14057,492,1,0
2020-06-24,New Hampshire,33,5571,343,5571,343,0,0
2020-06-24,New Jersey,34,169734,12949,169734,12949,0,0
2020-06-24,New Mexico,35,10838,476,10838,476,0,0
2020-06-24,New York,36,393855,30970,389169,26284,4686,4686
2020-06-24,North Carolina,37,54824,1276,54824,1276,0,0
2020-06-24,North Dakota,38,3326,84,3320,78,6,6
2020-06-24,Northern Mariana Islands,69,30,2,30,2,0,0
2020-06-24,Ohio,39,46127,2735,,,,
2020-06-24,Oklahoma,40,11028,371,11028,371,0,0
2020-06-24,Oregon,41,7281,192,7018,,263,
2020-06-24,Pennsylvania,42,87283,6511,,,,
2020-06-24,Puerto Rico,72,6685,149,1550,57,5135,92
2020-06-24,Rhode Island,44,16533,906,16533,906,0,0
2020-06-24,South Carolina,45,26613,673,26572,673,41,0
2020-06-24,South Dakota,46,6353,83,6353,83,0,0
2020-06-24,Tennessee,47,36018,535,35768,272,250,263
2020-06-24,Texas,48,124726,2246,124385,2245,341,1
2020-06-24,Utah,49,18454,163,18454,117,0,46
2020-06-24,Vermont,50,1164,56,1164,56,0,0
2020-06-24,Virgin Islands,78,76,6,76,6,0,0
2020-06-24,Virginia,51,58994,1645,,,,
2020-06-24,Washington,53,30778,1285,29737,1285,1041,0
2020-06-24,West Virginia,54,2593,92,2505,92,88,0
2020-06-24,Wisconsin,55,25496,751,25391,751,105,0
2020-06-24,Wyoming,56,1254,20,992,,262,
