date,county,state,fips,cases,deaths
2022-07-22,Autauga,Alabama,01001,17268,220
2022-07-22,Baldwin,Alabama,01003,61268,686
2022-07-22,Barbour,Alabama,01005,6205,100
2022-07-22,Bibb,Alabama,01007,6882,105
2022-07-22,Blount,Alabama,01009,15846,247
2022-07-22,Bullock,Alabama,01011,2592,54
2022-07-22,Butler,Alabama,01013,5480,129
2022-07-22,Calhoun,Alabama,01015,34233,638
2022-07-22,Chambers,Alabama,01017,9233,165
2022-07-22,Cherokee,Alabama,01019,5468,87
2022-07-22,Chilton,Alabama,01021,11657,212
2022-07-22,Choctaw,Alabama,01023,2134,37
2022-07-22,Clarke,Alabama,01025,7589,101
2022-07-22,Clay,Alabama,01027,4375,83
2022-07-22,Cleburne,Alabama,01029,3689,69
2022-07-22,Coffee,Alabama,01031,14716,236
2022-07-22,Colbert,Alabama,01033,17728,264
2022-07-22,Conecuh,Alabama,01035,3119,70
2022-07-22,Coosa,Alabama,01037,3200,59
2022-07-22,Covington,Alabama,01039,10097,236
2022-07-22,Crenshaw,Alabama,01041,4085,102
2022-07-22,Cullman,Alabama,01043,26525,371
2022-07-22,Dale,Alabama,01045,14101,234
2022-07-22,Dallas,Alabama,01047,9331,247
2022-07-22,DeKalb,Alabama,01049,19672,333
2022-07-22,Elmore,Alabama,01051,25591,352
2022-07-22,Escambia,Alabama,01053,10856,174
2022-07-22,Etowah,Alabama,01055,30047,655
2022-07-22,Fayette,Alabama,01057,5175,97
2022-07-22,Franklin,Alabama,01059,10269,140
2022-07-22,Geneva,Alabama,01061,6921,165
2022-07-22,Greene,Alabama,01063,2032,51
2022-07-22,Hale,Alabama,01065,5135,108
2022-07-22,Henry,Alabama,01067,5001,78
2022-07-22,Houston,Alabama,01069,27965,511
2022-07-22,Jackson,Alabama,01071,15813,244
2022-07-22,Jefferson,Alabama,01073,203119,2396
2022-07-22,Lamar,Alabama,01075,4000,65
2022-07-22,Lauderdale,Alabama,01077,25845,402
2022-07-22,Lawrence,Alabama,01079,8107,161
2022-07-22,Lee,Alabama,01081,40893,343
