SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
0,0,3944153,3944160,3951430,3963092,3926570,3931258,3954787,3983981,3954773,3893990,3815343,3783052
0,1,3978070,3978090,3957730,3966225,3977549,3942698,3948891,3973133,4002903,3972711,3908830,3829599
0,2,4096929,4096939,4090621,3970654,3978925,3991740,3958711,3966321,3991349,4020045,3987032,3922044
0,3,4119040,4119051,4111688,4101644,3981531,3991017,4005928,3974351,3982984,4006946,4033038,3998665
0,4,4063170,4063186,4077346,4121488,4111490,3992502,4004032,4020292,3989750,3997280,4018719,4043323
0,5,4056858,4056872,4064521,4087054,4131049,4121876,4004576,4017589,4035033,4003452,4008443,4028281
0,6,4066381,4066412,4072904,4074531,4096631,4141126,4133372,4017388,4031568,4048018,4014057,4017227
0,7,4030579,4030594,4042990,4082821,4084175,4106756,4152666,4145872,4030888,4044139,4058370,4022319
0,8,4046486,4046497,4025501,4052773,4092559,4094513,4118349,4165033,4158848,4042924,4054236,4066194
0,9,4148353,4148369,4125312,4035319,4062726,4103052,4106068,4130887,4177895,4170813,4053179,4061874
0,10,4172541,4172559,4186957,4135275,4045445,4072970,4114558,4118721,4144184,4190286,4181603,4060940
0,11,4114415,4114443,4115415,4197127,4145724,4055819,4084457,4126769,4131742,4156294,4200646,4189261
0,12,4106243,4106261,4113230,4125724,4207661,4156241,4067187,4096602,4139869,4143944,4166696,4208387
0,13,4118013,4118055,4119537,4123811,4136128,4218277,4168095,4080092,4110551,4152873,4155076,4175221
0,14,4165982,4166059,4145467,4130861,4134787,4147583,4231353,4182193,4094975,4124397,4164608,4164459
0,15,4242820,4242946,4230851,4158280,4143157,4147812,4162828,4247757,4199089,4110669,4137711,4175459
0,16,4316139,4316311,4313036,4246693,4173509,4159227,4165925,4181741,4267129,4217009,4125819,4150420
0,17,4395295,4395475,4376130,4334152,4267048,4194235,4181940,4189329,4205883,4289556,4235739,4142425
0,18,4500855,4501114,4490335,4401220,4358208,4291867,4221344,4210553,4218119,4232502,4311728,4255827
0,19,4585234,4585701,4570747,4518136,4427292,4384315,4320789,4251640,4239050,4244861,4253664,4330439
0,20,4519129,4519556,4567951,4598087,4546283,4452516,4410910,4349271,4278076,4262267,4262078,4269683
0,21,4354294,4354603,4387413,4594046,4629444,4573290,4480266,4440639,4376754,4301347,4279527,4278323
0,22,4264642,4264946,4286330,4412989,4625206,4659674,4604115,4513472,4472022,4403799,4321222,4298772
0,23,4198571,4198859,4216524,4312071,4443353,4655026,4692295,4638825,4546725,4500396,4424783,4341644
0,24,4249363,4249609,4243080,4242005,4341674,4471728,4686353,4726443,4671030,4574512,4520476,4444518
0,25,4262350,4262583,4288870,4267715,4271101,4368721,4501246,4719543,4759050,4698330,4593783,4539058
0,26,4152305,4152598,4160319,4311460,4295141,4296990,4397165,4533612,4750806,4785819,4717156,4611220
0,27,4248869,4249132,4236631,4181235,4336875,4319792,4324796,4428666,4564270,4776789,4803933,4733869
0,28,4215249,4215502,4247132,4255887,4204349,4358696,4345247,4354559,4457571,4588278,4793010,4818725
0,29,4223076,4223292,4209925,4264231,4276982,4224848,4382190,4372818,4381396,4479720,4603079,4806144
0,30,4285668,4285877,4303827,4224904,4282588,4295820,4246947,4407648,4397578,4401684,4492860,4614384
0,31,3970218,3970416,4042153,4316834,4240764,4298346,4314451,4270096,4429613,4415784,4413112,4502311
0,32,3986847,3987041,3967147,4053130,4330633,4254484,4314207,4334801,4290114,4445710,4425955,4421505
0,33,3880150,3880318,3933076,3977087,4064859,4342195,4268221,4332152,4353183,4304958,4454613,4432973
0,34,3839216,3839372,3821734,3941571,3987707,4074558,4353984,4284303,4348424,4366340,4312609,4460132
0,35,3956434,3956625,3947854,3829296,3950829,3996281,4084165,4367425,4297636,4358474,4371450,4315866
0,36,3802087,3802236,3829703,3953574,3836855,3957490,4004418,4095075,4377814,4304733,4361404,4372444
0,37,3934445,3934593,3896217,3834160,3959826,3842637,3964439,4013981,4103497,4383439,4306366,4361286
0,38,4121880,4122089,4079655,3899275,3839208,3964275,3848856,3972535,4021576,4108234,4384202,4305576
0,39,4364796,4364949,4323834,4081727,3902771,3842610,3969337,3855684,3978876,4025425,4108600,4382349
0,40,4383274,4383450,4386825,4323492,4083481,3904444,3845825,3974173,3860351,3980852,4024106,4105313
0,41,4114985,4115155,4162937,4384667,4323211,4083858,3905797,3849567,3977416,3861830,3978956,4020254
0,42,4076104,4076260,4082210,4160003,4382863,4321505,4083824,3907838,3851777,3977681,3859261,3974741
