,"San Francisco, California","Santa Clara, California","San Mateo, California","Marin, California","Contra Costa, California","Alameda, California","Los Angeles, California"
0,11.0,11,15.0,16.0,25.0,24.0,11.0
1,11.0,14,20.0,25.0,25.0,25.0,13.0
2,16.0,20,20.0,38.0,25.0,25.0,14.0
3,17.0,24,32.0,38.0,34.0,29.0,14.0
4,17.0,32,32.0,38.0,34.0,29.0,19.0
5,21.0,37,42.0,47.0,41.0,29.0,20.0
6,26.0,43,64.0,53.0,42.0,37.0,28.0
7,31.0,45,80.0,53.0,46.0,40.0,32.0
8,37.0,48,89.0,65.0,51.0,49.0,40.0
9,43.0,66,100.0,69.0,61.0,53.0,53.0
10,46.0,79,110.0,,71.0,57.0,69.0
11,51.0,91,117.0,,86.0,67.0,94.0
12,73.0,114,142.0,,108.0,87.0,144.0
13,79.0,138,161.0,,131.0,127.0,190.0
14,84.0,155,165.0,,151.0,139.0,231.0
15,111.0,175,195.0,,,151.0,292.0
16,134.0,189,239.0,,,156.0,351.0
17,152.0,196,,,,199.0,421.0
18,181.0,263,,,,241.0,536.0
19,226.0,303,,,,,662.0
20,282.0,321,,,,,799.0
21,,375,,,,,1216.0
22,,459,,,,,1465.0
23,,542,,,,,
24,,574,,,,,
