fips,population
53061,822083
53061,822083
53061,822083
17031,5150233
53061,822083
06059,3175692
17031,5150233
53061,822083
04013,4485414
06037,10039107
06059,3175692
17031,5150233
53061,822083
04013,4485414
06037,10039107
06059,3175692
17031,5150233
53061,822083
04013,4485414
06037,10039107
06059,3175692
17031,5150233
53061,822083
04013,4485414
06037,10039107
06059,3175692
17031,5150233
53061,822083
04013,4485414
06037,10039107
06059,3175692
17031,5150233
53061,822083
04013,4485414
06037,10039107
06059,3175692
06085,1927852
17031,5150233
53061,822083
04013,4485414
06037,10039107
06059,3175692
06085,1927852
17031,5150233
25025,803907
53061,822083
04013,4485414
06037,10039107
06059,3175692
06075,881549
06085,1927852
17031,5150233
25025,803907
53061,822083
04013,4485414
06037,10039107
06059,3175692
06075,881549
06085,1927852
17031,5150233
25025,803907
53061,822083
04013,4485414
06037,10039107
06059,3175692
06075,881549
06085,1927852
17031,5150233
25025,803907
53061,822083
04013,4485414
06037,10039107
06059,3175692
06075,881549
06085,1927852
17031,5150233
25025,803907
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06075,881549
06085,1927852
17031,5150233
25025,803907
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06075,881549
06085,1927852
17031,5150233
25025,803907
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06075,881549
06085,1927852
17031,5150233
25025,803907
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06075,881549
06085,1927852
17031,5150233
25025,803907
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
48029,2003554
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
48029,2003554
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
48029,2003554
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
48029,2003554
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
48029,2003554
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
31055,571327
48029,2003554
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
31055,571327
48029,2003554
53061,822083
55025,546695
04013,4485414
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
31055,571327
48029,2003554
53061,822083
55025,546695
04013,4485414
06023,135558
06037,10039107
06059,3175692
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
31055,571327
48029,2003554
53061,822083
55025,546695
04013,4485414
06023,135558
06037,10039107
06059,3175692
06067,1552058
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
31055,571327
48029,2003554
53061,822083
55025,546695
04013,4485414
06023,135558
06037,10039107
06059,3175692
06067,1552058
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
31055,571327
48029,2003554
53061,822083
55025,546695
04013,4485414
06023,135558
06037,10039107
06059,3175692
06067,1552058
06073,3338330
06075,881549
06085,1927852
17031,5150233
25025,803907
31055,571327
48029,2003554
53061,822083
55025,546695
04013,4485414
06023,135558
06037,10039107
06059,3175692
06067,1552058
06073,3338330
06075,881549
06085,1927852
06095,447643
17031,5150233
25025,803907
31055,571327
48029,2003554
53061,822083
53063,522798
55025,546695
04013,4485414
06023,135558
06037,10039107
06059,3175692
06067,1552058
06073,3338330
06075,881549
06085,1927852
06095,447643
17031,5150233
25025,803907
31055,571327
48029,2003554
49035,1160437
53061,822083
53063,522798
55025,546695
04013,4485414
06023,135558
06037,10039107
06041,258826
06055,137744
06059,3175692
06067,1552058
06073,3338330
06075,881549
06085,1927852
06095,447643
06097,494336
17031,5150233
25025,803907
31055,571327
48029,2003554
49035,1160437
53061,822083
53063,522798
55025,546695
04013,4485414
06023,135558
06037,10039107
06041,258826
06055,137744
06059,3175692
06067,1552058
06073,3338330
06075,881549
06085,1927852
06095,447643
06097,494336
17031,5150233
25025,803907
31055,571327
48029,2003554
49035,1160437
53061,822083
53063,522798
55025,546695
04013,4485414
06023,135558
06037,10039107
06041,258826
06055,137744
06059,3175692
06067,1552058
06073,3338330
06075,881549
06085,1927852
06095,447643
06097,494336
17031,5150233
25025,803907
31055,571327
41067,601592
48029,2003554
49035,1160437
53033,2252782
53061,822083
53063,522798
55025,546695
04013,4485414
06023,135558
06037,10039107
06041,258826
06055,137744
06059,3175692
06067,1552058
06073,3338330
06075,881549
06085,1927852
06095,447643
06097,494336
