nyt_id,facility_name,facility_type,facility_city,facility_county,facility_county_fips,facility_state,facility_lng,facility_lat,latest_inmate_population,max_inmate_population_2020,total_inmate_cases,total_inmate_deaths,total_officer_cases,total_officer_deaths,note
F3EFE858,Alex City Work Release prison,Low-security work release,Alex City,Coosa,01037,Alabama,-86.0090148,32.9045073,188,,77,0,17,0,
5B910220,Alabama Therapeutic Education Facility prison,State rehabilitation center,Columbiana,Shelby,01117,Alabama,-86.6240675,33.1807547,272,,11,1,2,0,
02FB1675,Bibb Correctional Facility,State prison,Brent,Bibb,01007,Alabama,-87.1627807,32.9207544,1725,1825,164,3,61,0,
6378F6C4,Birmingham Women's Community Based Facility and Community Work Center,State prison,Birmingham,Jefferson,01073,Alabama,-86.8083438,33.531101,192,,17,0,28,0,
EAABF900,Bullock Correctional Facility,State prison,Bessemer,Bullock,01011,Alabama,-85.6739273,32.1471443,1477,1577,162,5,80,1,
D19A2461,Camden prison,State prison,Camden,Wilcox,01131,Alabama,-87.2878595,31.987811,49,,5,0,3,0,
F80A4A63,Childersburg prison,State prison,Childersburg,Talladega,01121,Alabama,-86.3530011,33.277633,322,,5,0,14,0,
F119AF97,William E. Donaldson Correctional Facility,State prison,Bessemer,Jefferson,01073,Alabama,-87.1847963,33.5140537,1508,1532,45,2,26,0,
41B5BD10,Draper Correctional Facility,State prison,Elmore,Elmore,01051,Alabama,-86.3375969,32.5771384,100,,121,0,0,0,
9C1D5182,Easterling Correctional Facility,State prison,Cilo,Barbour,01005,Alabama,-85.5857636,31.7023346,1181,1318,72,2,47,0,
2CF2BFD4,Elba Work Release,Low-security work release,Elba,Coffee,01031,Alabama,-86.0834766,31.4125492,207,,1,0,8,0,
0B0C27B1,Elmore Correctional Facility,State prison,Elmore,Elmore,01051,Alabama,-86.3213357,32.5744376,1114,1180,28,0,18,0,
C42CE2AF,Fountain Correctional Facility,State prison,Atmore,Escambia,01053,Alabama,-87.4645704,31.1568953,1149,1270,29,1,47,0,
3707C471,Frank Lee prison,State prison,Deatsville,Elmore,01051,Alabama,-86.391838,32.5813484,227,,26,0,22,0,
