date,end_date,county,state,geoid,type,omit_from_rolling_average,omit_from_rolling_average_on_subgeographies,adjusted_daily_count_for_avg,description
2020-04-06,,New York City,New York,USA-36998,deaths,,,0,The Times began using deaths reported by the New York State Department of Health instead of the city's health department. 
2020-04-09,,,Wyoming,USA-56,cases,yes,,0,Wyoming began reporting probable cases and deaths.
2020-04-12,,,Georgia,USA-13,both,,,0,"Our database changed to exclude cases in non-Georgia residents, leading to a one-day drop in the total number of cases. These cases were previously reported with ""Unknown"" county."
2020-04-12,,,Puerto Rico,USA-72,deaths,,,0,"Puerto Rico started including some probable Covid-19-related deaths. From April 19 to April 22, the territory stopped reporting probable deaths, and then continued again on April 23."
2020-04-15,,,Maryland,USA-24,deaths,yes,,0,Maryland began reporting probable deaths.
2020-04-15,,,Michigan,USA-26,both,,,0,"Our database began to include cases and deaths among federal and state prison inmates in Michigan, which are reported separately by the state department of health."
2020-04-16,,,Pennsylvania,USA-42,cases,,,0,The total case number includes lab-confirmed and probable cases starting around April 16.
2020-04-19,,New York City,New York,USA-36998,deaths,,,0,New York State added a backlog of confirmed deaths from April 17 and April 18.
2020-04-19,,,Washington,USA-53,cases,yes,,0,Washington removed 190 confirmed cases that were found to be residents who were out of state.
2020-04-21,,,Puerto Rico,USA-72,cases,,,0,Puerto Rico revised the number of cases downward after resolving an issue with duplicates.
2020-04-23,,,Alabama,USA-01,cases,,,0,Alabama removed a number of previously reported deaths.
2020-04-24,,,Colorado,USA-08,cases,yes,,0,Colorado added a number of cases from a testing backlog.
2020-04-24,,,Massachusetts,USA-25,cases,,,0,Massachusetts announced a backlog of cases from earlier in April.
2020-04-25,,,Colorado,USA-08,deaths,,,0,"Colorado revised downward the number of deaths after removing ""about 29 duplicates"" from the number of probable deaths included in the total."
2020-05-06,,,Virginia,USA-51,both,,,0,Virginia did not release new data because of a technical issue.
2020-05-06,,,New York,USA-36,deaths,yes,,0,New York State added many deaths from unspecified days after reconciling data from nursing homes and other care facilities.
