date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2022-01-01,USA-72999,Unknown,Puerto Rico,0,328.14,,0,0,
2022-01-01,USA-72153,Yauco,Puerto Rico,0,66.5,196.4,0,0,0
2022-01-01,USA-72151,Yabucoa,Puerto Rico,0,63.13,196.3,0,0,0
2022-01-01,USA-72149,Villalba,Puerto Rico,0,47.5,221.18,0,0,0
2022-01-01,USA-72147,Vieques,Puerto Rico,0,7.63,91.16,0,0,0
2022-01-01,USA-72145,Vega Baja,Puerto Rico,0,152.5,303.88,0,0,0
2022-01-01,USA-72143,Vega Alta,Puerto Rico,0,70.5,196.89,0,0,0
2022-01-01,USA-72141,Utuado,Puerto Rico,0,26.63,96.66,0,0,0
2022-01-01,USA-72139,Trujillo Alto,Puerto Rico,0,169.75,266.29,0,0,0
2022-01-01,USA-72137,Toa Baja,Puerto Rico,0,185.5,248.58,0,0,0
2022-01-01,USA-72135,Toa Alta,Puerto Rico,0,187.88,264.26,0,0,0
2022-01-01,USA-72133,Santa Isabel,Puerto Rico,0,44,209.16,0,0,0
2022-01-01,USA-72131,San Sebastian,Puerto Rico,0,103.38,289.96,0,0,0
2022-01-01,USA-72129,San Lorenzo,Puerto Rico,0,76.5,213.09,0,0,0
2022-01-01,USA-72127,San Juan,Puerto Rico,0,1237.71,385.62,0,0,0
2022-01-01,USA-72125,San German,Puerto Rico,0,55.5,183.6,0,0,0
2022-01-01,USA-72123,Salinas,Puerto Rico,0,37.5,138.46,0,0,0
2022-01-01,USA-72121,Sabana Grande,Puerto Rico,0,32.75,150.64,0,0,0
2022-01-01,USA-72119,Rio Grande,Puerto Rico,0,131.25,274.07,0,0,0
2022-01-01,USA-72117,Rincon,Puerto Rico,0,29.38,215.56,0,0,0
2022-01-01,USA-72115,Quebradillas,Puerto Rico,0,44.75,196.03,0,0,0
2022-01-01,USA-72113,Ponce,Puerto Rico,0,258,193.71,0,0,0
2022-01-01,USA-72111,Penuelas,Puerto Rico,0,29.75,153.33,0,0,0
2022-01-01,USA-72109,Patillas,Puerto Rico,0,32.13,196.97,0,0,0
2022-01-01,USA-72107,Orocovis,Puerto Rico,0,44,217.6,0,0,0
2022-01-01,USA-72105,Naranjito,Puerto Rico,0,82.75,304.13,0,0,0
2022-01-01,USA-72103,Naguabo,Puerto Rico,0,36.13,142.36,0,0,0
2022-01-01,USA-72101,Morovis,Puerto Rico,0,60,199.55,0,0,0
2022-01-01,USA-72099,Moca,Puerto Rico,0,65.75,188.35,0,0,0
2022-01-01,USA-72097,Mayaguez,Puerto Rico,0,164.38,228.34,0,0,0
2022-01-01,USA-72095,Maunabo,Puerto Rico,0,16.5,159.11,0,0,0
2022-01-01,USA-72093,Maricao,Puerto Rico,0,8.13,149.74,0,0,0
2022-01-01,USA-72091,Manati,Puerto Rico,0,91.63,245.03,0,0,0
2022-01-01,USA-72089,Luquillo,Puerto Rico,0,31.88,181.17,0,0,0
2022-01-01,USA-72087,Loiza,Puerto Rico,0,36,145.83,0,0,0
2022-01-01,USA-72085,Las Piedras,Puerto Rico,0,79.38,217.72,0,0,0
2022-01-01,USA-72083,Las Marias,Puerto Rico,0,8.25,103.63,0,0,0
2022-01-01,USA-72081,Lares,Puerto Rico,0,54.38,222.08,0,0,0
2022-01-01,USA-72079,Lajas,Puerto Rico,0,33.38,151.77,0,0,0
2022-01-01,USA-72077,Juncos,Puerto Rico,0,88.13,233.61,0,0,0
2022-01-01,USA-72075,Juana Diaz,Puerto Rico,0,103.38,232.25,0,0,0
2022-01-01,USA-72073,Jayuya,Puerto Rico,0,19.13,137.13,0,0,0
2022-01-01,USA-72071,Isabela,Puerto Rico,0,73,181.29,0,0,0
2022-01-01,USA-72069,Humacao,Puerto Rico,0,115.25,228.07,0,0,0
2022-01-01,USA-72067,Hormigueros,Puerto Rico,0,29.5,190.79,0,0,0
2022-01-01,USA-72065,Hatillo,Puerto Rico,0,58.25,150.03,0,0,0
2022-01-01,USA-72063,Gurabo,Puerto Rico,0,102,221.41,0,0,0
2022-01-01,USA-72061,Guaynabo,Puerto Rico,0,289.43,345.43,0,0,0
2022-01-01,USA-72059,Guayanilla,Puerto Rico,0,20.88,117.81,0,0,0
2022-01-01,USA-72057,Guayama,Puerto Rico,0,72.25,182.81,0,0,0
2022-01-01,USA-72055,Guanica,Puerto Rico,0,19.5,125.39,0,0,0
2022-01-01,USA-72054,Florida,Puerto Rico,0,26.88,237.22,0,0,0
2022-01-01,USA-72053,Fajardo,Puerto Rico,0,67.88,228.54,0,0,0
2022-01-01,USA-72051,Dorado,Puerto Rico,0,93.13,260.28,0,0,0
2022-01-01,USA-72049,Culebra,Puerto Rico,0,7.63,445.91,0,0,0
2022-01-01,USA-72047,Corozal,Puerto Rico,0,96.38,298.19,0,0,0
2022-01-01,USA-72045,Comerio,Puerto Rico,0,31.63,170.05,0,0,0
2022-01-01,USA-72043,Coamo,Puerto Rico,0,70.63,186.62,0,0,0
2022-01-01,USA-72041,Cidra,Puerto Rico,0,95,248.12,0,0,0
2022-01-01,USA-72039,Ciales,Puerto Rico,0,31.13,195.53,0,0,0
2022-01-01,USA-72037,Ceiba,Puerto Rico,0,14.5,131.6,0,0,0
2022-01-01,USA-72035,Cayey,Puerto Rico,0,104.38,246.46,0,0,0
2022-01-01,USA-72033,Catano,Puerto Rico,0,58.38,251.14,0,0,0
2022-01-01,USA-72031,Carolina,Puerto Rico,0,544.57,368.8,0,0,0
2022-01-01,USA-72029,Canovanas,Puerto Rico,0,104.38,235.63,0,0,0
2022-01-01,USA-72027,Camuy,Puerto Rico,0,59.25,194.24,0,0,0
2022-01-01,USA-72025,Caguas,Puerto Rico,0,385,309.4,0,0,0
2022-01-01,USA-72023,Cabo Rojo,Puerto Rico,0,91.75,194.73,0,0,0
2022-01-01,USA-72021,Bayamon,Puerto Rico,0,636,373.06,0,0,0
2022-01-01,USA-72019,Barranquitas,Puerto Rico,0,70.25,255.68,0,0,0
2022-01-01,USA-72017,Barceloneta,Puerto Rico,0,43.38,184.54,0,0,0
2022-01-01,USA-72015,Arroyo,Puerto Rico,0,27.25,158.72,0,0,0
2022-01-01,USA-72013,Arecibo,Puerto Rico,0,167.88,204.44,0,0,0
2022-01-01,USA-72011,Anasco,Puerto Rico,0,53.88,206.96,0,0,0
2022-01-01,USA-72009,Aibonito,Puerto Rico,0,61.5,277.74,0,0,0
2022-01-01,USA-72007,Aguas Buenas,Puerto Rico,0,54.25,218.33,0,0,0
2022-01-01,USA-72005,Aguadilla,Puerto Rico,0,84.25,166.51,0,0,0
2022-01-01,USA-72003,Aguada,Puerto Rico,0,84.5,230.74,0,0,0
2022-01-01,USA-72001,Adjuntas,Puerto Rico,0,25.25,145.94,0,0,0
2022-01-01,USA-56045,Weston,Wyoming,0,1.14,16.5,0,0,0
2022-01-01,USA-56043,Washakie,Wyoming,0,1.86,23.79,0,0,0
2022-01-01,USA-56041,Uinta,Wyoming,0,3.43,16.95,0,0,0
2022-01-01,USA-56039,Teton,Wyoming,0,50.29,214.31,0,0,0
2022-01-01,USA-56037,Sweetwater,Wyoming,0,8.71,20.58,0,0,0
2022-01-01,USA-56035,Sublette,Wyoming,0,0.63,6.36,0,0,0
2022-01-01,USA-56033,Sheridan,Wyoming,0,8.43,27.65,0,0,0
2022-01-01,USA-56031,Platte,Wyoming,0,0.38,4.47,0,0,0
2022-01-01,USA-56029,Park,Wyoming,0,3.71,12.72,0,0,0
2022-01-01,USA-56027,Niobrara,Wyoming,0,0.57,24.25,0,0,0
2022-01-01,USA-56025,Natrona,Wyoming,0,18,22.54,0,0,0
2022-01-01,USA-56023,Lincoln,Wyoming,0,6.71,33.86,0,0,0
2022-01-01,USA-56021,Laramie,Wyoming,0,43.29,43.5,0,0,0
2022-01-01,USA-56019,Johnson,Wyoming,0,0.56,6.58,0,0,0
2022-01-01,USA-56017,Hot Springs,Wyoming,0,0.22,5.04,0,0,0
2022-01-01,USA-56015,Goshen,Wyoming,0,3.29,24.87,0,0,0
2022-01-01,USA-56013,Fremont,Wyoming,0,10,25.47,0,0,0
2022-01-01,USA-56011,Crook,Wyoming,0,0.57,7.53,0,0,0
2022-01-01,USA-56009,Converse,Wyoming,0,3,21.7,0,0,0
2022-01-01,USA-56007,Carbon,Wyoming,0,4,27.03,0,0,0
2022-01-01,USA-56005,Campbell,Wyoming,0,12.86,27.74,0,0,0
2022-01-01,USA-56003,Big Horn,Wyoming,0,1.57,13.33,0,0,0
2022-01-01,USA-56001,Albany,Wyoming,0,16.29,41.89,0,0,0
2022-01-01,USA-55141,Wood,Wisconsin,0,60,82.19,0,1.71,2.35
2022-01-01,USA-55139,Winnebago,Wisconsin,0,163.57,95.15,0,0.89,0.52
2022-01-01,USA-55137,Waushara,Wisconsin,0,14.57,59.61,0,0.43,1.75
2022-01-01,USA-55135,Waupaca,Wisconsin,0,38.71,75.93,0,0,0
2022-01-01,USA-55133,Waukesha,Wisconsin,0,166.43,41.18,0,0.57,0.14
2022-01-01,USA-55131,Washington,Wisconsin,0,126.43,92.94,0,0,0
2022-01-01,USA-55129,Washburn,Wisconsin,0,7.86,49.98,0,0,0
2022-01-01,USA-55127,Walworth,Wisconsin,0,57.13,55,0,0.57,0.55
2022-01-01,USA-55125,Vilas,Wisconsin,0,9.57,43.12,0,0.57,2.57
2022-01-01,USA-55123,Vernon,Wisconsin,0,13.57,44.03,0,0,0
2022-01-01,USA-55121,Trempealeau,Wisconsin,0,25.86,87.21,0,0.14,0.48
2022-01-01,USA-55119,Taylor,Wisconsin,0,12.57,61.8,0,0,0
2022-01-01,USA-55109,St. Croix,Wisconsin,0,66.57,73.41,0,0.71,0.79
