date,geoid,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-01-21,USA,1,0.14,0,0,0,0
2020-01-22,USA,0,0.14,0,0,0,0
2020-01-23,USA,0,0.14,0,0,0,0
2020-01-24,USA,1,0.29,0,0,0,0
2020-01-25,USA,1,0.43,0,0,0,0
2020-01-26,USA,2,0.71,0,0,0,0
2020-01-27,USA,0,0.71,0,0,0,0
2020-01-28,USA,0,0.71,0,0,0,0
2020-01-29,USA,0,0.71,0,0,0,0
2020-01-30,USA,1,0.86,0,0,0,0
2020-01-31,USA,1,1,0,0,0,0
2020-02-01,USA,1,1.14,0,0,0,0
2020-02-02,USA,3,1.29,0,0,0,0
2020-02-03,USA,0,1.29,0,0,0,0
2020-02-04,USA,0,1.14,0,0,0,0
2020-02-05,USA,1,1.29,0,0,0,0
2020-02-06,USA,0,1.29,0,0,0,0
2020-02-07,USA,0,1.29,0,0,0,0
2020-02-08,USA,0,1.29,0,0,0,0
2020-02-09,USA,0,1.14,0,0,0,0
2020-02-10,USA,1,0.7,0,0,0,0
2020-02-11,USA,0,0.7,0,0,0,0
2020-02-12,USA,1,0.84,0,0,0,0
2020-02-13,USA,1,0.7,0,0,0,0
2020-02-14,USA,0,0.7,0,0,0,0
2020-02-15,USA,0,0.55,0,0,0,0
2020-02-16,USA,0,0.55,0,0,0,0
2020-02-17,USA,10,1.98,0,0,0,0
2020-02-18,USA,0,1.98,0,0,0,0
2020-02-19,USA,0,1.84,0,0,0,0
2020-02-20,USA,2,1.96,0,0,0,0
2020-02-21,USA,3,2,0,0,0,0
2020-02-22,USA,0,2,0,0,0,0
2020-02-23,USA,0,2,0,0,0,0
2020-02-24,USA,13,1.87,0,0,0,0
2020-02-25,USA,2,2.1,0,0,0,0
2020-02-26,USA,15,3,0,0,0,0
2020-02-27,USA,0,3,0,0,0,0
2020-02-28,USA,5,4.83,0,0,0,0
2020-02-29,USA,5,5,0,1,0.08,0
2020-03-01,USA,18,6.66,0,2,0.23,0
2020-03-02,USA,16,9.8,0,3,0.43,0
2020-03-03,USA,21,11.68,0,4,0.67,0
2020-03-04,USA,36,13.52,0,2,0.77,0
2020-03-05,USA,67,20.5,0.01,0,0.77,0
2020-03-06,USA,83,34.97,0.01,3,1.04,0
2020-03-07,USA,117,50.73,0.02,4,2.51,0
2020-03-08,USA,119,64.39,0.02,3,2.65,0
2020-03-09,USA,201,88.49,0.03,4,2.69,0
2020-03-10,USA,270,123.23,0.04,5,2.74,0
2020-03-11,USA,245,150.29,0.05,6,3.57,0
2020-03-12,USA,405,201.45,0.06,6,3.98,0
2020-03-13,USA,556,270.28,0.08,7,5.04,0
2020-03-14,USA,674,342.93,0.1,10,5.33,0
2020-03-15,USA,702,427.56,0.13,8,5.6,0
2020-03-16,USA,907,530.94,0.16,23,7.8,0
2020-03-17,USA,1399,690.72,0.21,26,9.8,0
2020-03-18,USA,2444,1006.65,0.3,45,13.33,0
2020-03-19,USA,4043,1518.99,0.46,50,17.78,0.01
2020-03-20,USA,5619,2242.91,0.68,65,22,0.01
2020-03-21,USA,6516,3070.73,0.93,83,38.17,0.01
2020-03-22,USA,8545,4201.46,1.27,98,48.54,0.01
2020-03-23,USA,10432,5565.32,1.68,121,62.28,0.02
