0,United States,308745538,328239523
1,Alabama,4779736,4903185
2,Alaska,710231,731545
4,Arizona,6392017,7278717
5,Arkansas,2915918,3017804
6,California,37253956,39512223
8,Colorado,5029196,5758736
9,Connecticut,3574097,3565287
10,Delaware,897934,973764
11,District of Columbia,601723,705749
12,Florida,18801310,21477737
13,Georgia,9687653,10617423
15,Hawaii,1360301,1415872
16,Idaho,1567582,1787065
17,Illinois,12830632,12671821
18,Indiana,6483802,6732219
19,Iowa,3046355,3155070
20,Kansas,2853118,2913314
21,Kentucky,4339367,4467673
22,Louisiana,4533372,4648794
23,Maine,1328361,1344212
24,Maryland,5773552,6045680
25,Massachusetts,6547629,6892503
26,Michigan,9883640,9986857
27,Minnesota,5303925,5639632
28,Mississippi,2967297,2976149
29,Missouri,5988927,6137428
30,Montana,989415,1068778
31,Nebraska,1826341,1934408
32,Nevada,2700551,3080156
33,New Hampshire,1316470,1359711
34,New Jersey,8791894,8882190
35,New Mexico,2059179,2096829
36,New York,19378102,19453561
37,North Carolina,9535483,10488084
38,North Dakota,672591,762062
39,Ohio,11536504,11689100
40,Oklahoma,3751351,3956971
41,Oregon,3831074,4217737
42,Pennsylvania,12702379,12801989
44,Rhode Island,1052567,1059361
45,South Carolina,4625364,5148714
46,South Dakota,814180,884659
47,Tennessee,6346105,6829174
48,Texas,25145561,28995881
49,Utah,2763885,3205958
50,Vermont,625741,623989
51,Virginia,8001024,8535519
53,Washington,6724540,7614893
54,West Virginia,1852994,1792147
55,Wisconsin,5686986,5822434
56,Wyoming,563626,578759
72,Puerto Rico,3725789,3193694
