date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
2020-05-31,Alabama,01,17494,628,17494,,0,
2020-05-31,Alaska,02,441,8,441,8,0,0
2020-05-31,Arizona,04,19255,903,,,,
2020-05-31,Arkansas,05,7013,133,7013,133,0,0
2020-05-31,California,06,110953,4214,110953,4214,0,0
2020-05-31,Colorado,08,26084,1443,,,,
2020-05-31,Connecticut,09,42022,3912,,,,
2020-05-31,Delaware,10,9422,361,,,,
2020-05-31,District of Columbia,11,8717,462,8717,462,0,0
2020-05-31,Florida,12,55416,2446,55416,2446,0,0
2020-05-31,Georgia,13,44894,2003,44894,2003,0,0
2020-05-31,Guam,66,1141,6,1134,6,7,0
2020-05-31,Hawaii,15,641,17,,,,
2020-05-31,Idaho,16,2840,82,2579,78,261,4
2020-05-31,Illinois,17,119290,5368,119290,5368,0,0
2020-05-31,Indiana,18,35064,2125,34211,1958,853,167
2020-05-31,Iowa,19,19484,533,19484,533,0,0
2020-05-31,Kansas,20,9847,209,,,,
2020-05-31,Kentucky,21,9887,441,,,,
2020-05-31,Louisiana,22,39682,2785,39577,2680,105,105
2020-05-31,Maine,23,2282,89,2025,89,257,0
2020-05-31,Maryland,24,53227,2532,53137,2411,90,121
2020-05-31,Massachusetts,25,96301,6768,96301,6768,0,0
2020-05-31,Michigan,26,56848,5463,56848,,0,
2020-05-31,Minnesota,27,24200,1036,24190,1026,10,10
2020-05-31,Mississippi,28,15229,723,15229,,0,
2020-05-31,Missouri,29,13118,782,13118,782,0,0
2020-05-31,Montana,30,505,17,505,17,0,0
2020-05-31,Nebraska,31,13905,177,13905,177,0,0
2020-05-31,Nevada,32,8519,417,8519,417,0,0
2020-05-31,New Hampshire,33,4545,242,4545,242,0,0
2020-05-31,New Jersey,34,159608,11634,159608,11634,0,0
2020-05-31,New Mexico,35,7624,351,7624,351,0,0
2020-05-31,New York,36,374471,29612,369744,24885,4727,4727
2020-05-31,North Carolina,37,27761,903,27761,903,0,0
2020-05-31,North Dakota,38,2557,63,2554,60,3,3
2020-05-31,Northern Mariana Islands,69,22,2,22,2,0,0
2020-05-31,Ohio,39,35034,2149,,,,
2020-05-31,Oklahoma,40,6418,334,6418,334,0,0
2020-05-31,Oregon,41,4185,153,4083,153,102,0
2020-05-31,Pennsylvania,42,75789,5537,,,,
2020-05-31,Puerto Rico,72,3776,136,1304,63,2472,73
2020-05-31,Rhode Island,44,14819,711,14819,711,0,0
2020-05-31,South Carolina,45,11394,487,11394,487,0,0
2020-05-31,South Dakota,46,4960,62,4960,62,0,0
2020-05-31,Tennessee,47,22676,360,22522,360,154,0
2020-05-31,Texas,48,63468,1676,63449,1676,19,0
2020-05-31,Utah,49,9551,112,9551,80,0,32
2020-05-31,Vermont,50,981,55,981,55,0,0
2020-05-31,Virgin Islands,78,69,6,69,6,0,0
2020-05-31,Virginia,51,44607,1375,,,,
2020-05-31,Washington,53,22234,1126,21519,1126,715,0
2020-05-31,West Virginia,54,1989,75,1934,75,55,0
2020-05-31,Wisconsin,55,18249,588,18249,588,0,0
2020-05-31,Wyoming,56,898,16,688,,210,
