date,Province_State,stabbr,doses_alloc_total,doses_alloc_moderna,doses_alloc_pfizer,doses_alloc_unknown,doses_shipped_total,doses_shipped_moderna,doses_shipped_pfizer,doses_shipped_unknown,doses_admin_total,doses_admin_moderna,doses_admin_pfizer,doses_admin_unknown,people_total,people_total_2nd_dose
12/14/2020,Alabama,AL,40950.0,,40950.0,,,,,,,,,,,
12/15/2020,Alabama,AL,,,,,,,,,,,,,,
12/16/2020,Alabama,AL,,,,,,,,,,,,,,
12/17/2020,Alabama,AL,,,,,,,,,,,,,,
12/18/2020,Alabama,AL,,,,,,,,,5181.0,,5181.0,,5181.0,
12/19/2020,Alabama,AL,,,,,,,,,,,,,,
12/20/2020,Alabama,AL,,,,,,,,,,,,,,
12/21/2020,Alabama,AL,,,,,,,,,,,,,,
12/22/2020,Alabama,AL,,,,,,,,,,,,,,
12/23/2020,Alabama,AL,,,,,,,,,,,,,,
12/24/2020,Alabama,AL,,,,,,,,,,,,,,
12/25/2020,Alabama,AL,,,,,,,,,,,,,,
12/26/2020,Alabama,AL,,,,,,,,,,,,,,
12/27/2020,Alabama,AL,,,,,,,,,,,,,,
12/28/2020,Alabama,AL,128175.0,,,128175.0,,,,,20354.0,2206.0,18148.0,,20354.0,
12/29/2020,Alabama,AL,128175.0,,,128175.0,,,,,20354.0,2206.0,18148.0,,20354.0,
12/30/2020,Alabama,AL,128175.0,,,128175.0,,,,,20354.0,2206.0,18148.0,,20354.0,
12/31/2020,Alabama,AL,128175.0,,,128175.0,,,,,20354.0,2206.0,18148.0,,20354.0,
01/01/2021,Alabama,AL,128175.0,,,128175.0,,,,,20354.0,2206.0,18148.0,,20354.0,
01/02/2021,Alabama,AL,226250.0,,,226250.0,,,,,42810.0,14541.0,28269.0,,,
01/03/2021,Alabama,AL,226250.0,,,226250.0,,,,,42810.0,14541.0,28269.0,,,
01/04/2021,Alabama,AL,226250.0,,,226250.0,,,,,42810.0,14541.0,28269.0,,,
01/05/2021,Alabama,AL,226250.0,,,226250.0,,,,,42810.0,14541.0,28269.0,,,
01/06/2021,Alabama,AL,226250.0,,,226250.0,,,,,42810.0,14541.0,28269.0,,,
01/07/2021,Alabama,AL,226250.0,,,226250.0,,,,,42810.0,14541.0,28269.0,,,
01/08/2021,Alabama,AL,226250.0,,,226250.0,,,,,42810.0,14541.0,28269.0,,,
01/09/2021,Alabama,AL,226250.0,,,226250.0,,,,,42810.0,14541.0,28269.0,,,
01/10/2021,Alabama,AL,226250.0,,,226250.0,,,,,42810.0,14541.0,28269.0,,,
01/11/2021,Alabama,AL,271925.0,,,,,,,,87138.0,35255.0,51883.0,,,
01/12/2021,Alabama,AL,271925.0,,,,,,,,87138.0,35255.0,51883.0,,,
